Sample	Isolate	DPI	Stage	Replicate
Zt05_A_01	Zt05	3	A	01
Zt05_A_02	Zt05	3	A	02
Zt05_B_01	Zt05	7	B	01
Zt05_B_02	Zt05	7	B	02
Zt05_C_01	Zt05	12	C	01
Zt05_C_02	Zt05	12	C	02
Zt05_D_01	Zt05	15	D	01
Zt05_D_02	Zt05	15	D	02
Zt09_A_01	Zt09	4	A	01
Zt09_A_02	Zt09	4	A	02
Zt09_B_01	Zt09	9	B	01
Zt09_B_02	Zt09	9	B	02
Zt09_C_01	Zt09	15	C	01
Zt09_C_02	Zt09	15	C	02
Zt09_D_01	Zt09	17	D	01
Zt09_D_02	Zt09	17	D	02
Zt10_A_01	Zt10	5	A	01
Zt10_A_02	Zt10	5	A	02
Zt10_B_01	Zt10	11	B	01
Zt10_B_02	Zt10	11	B	02
Zt10_C_01	Zt10	15	C	01
Zt10_C_02	Zt10	15	C	02
Zt10_D_01	Zt10	18	D	01
Zt10_D_02	Zt10	18	D	02
X3D1.1.7d	3D1	7	A	01
X3D1.2.7d	3D1	7	A	02
X3D1.3.7d	3D1	7	A	03
X3D1.2.12d	3D1	12	B	01
X3D1.5.12d	3D1	12	B	02
X3D1.8.12d	3D1	12	B	03
X3D1.7.14d	3D1	14	C	01
X3D1.9.14d	3D1	14	C	02
X3D1.10.14d	3D1	14	C	03
X3D1.1.28d	3D1	28	D	01
X3D1.4.28d	3D1	28	D	02
X3D1.5.28d	3D1	28	D	03
X3D7.2.7d	3D7	7	A	01
X3D7.8.7d	3D7	7	A	02
X3D7.10.7d	3D7	7	A	03
X3D7.2.12d	3D7	12	B	01
X3D7.3.12d	3D7	12	B	02
X3D7.6.12d	3D7	12	B	03
X3D7.4.14d	3D7	14	C	01
X3D7.5.14d	3D7	14	C	02
X3D7.10.14d	3D7	14	C	03
X3D7.1.28d	3D7	28	D	01
X3D7.5.28d	3D7	28	D	02
X3D7.10.28d	3D7	28	D	03
X1A5.1.7d	1A5	7	A	01
X1A5.7.7d	1A5	7	A	02
X1A5.10.7d	1A5	7	A	03
X1A5.3.12d	1A5	12	B	01
X1A5.5.12d	1A5	12	B	02
X1A5.7.12d	1A5	12	B	03
X1A5.8.14d  	1A5	14	C	01
X1A5.9.14d	1A5	14	C	02
X1A5.10.14d	1A5	14	C	03
X1A5.3.28d	1A5	28	D	01
X1A5.6.28d	1A5	28	D	02
X1A5.7.28d	1A5	28	D	03
X1E4.4.7d	1E4	7	A	01
X1E4.5.7d	1E4	7	A	02
X1E4.6.7d	1E4	7	A	03
X1E4.3.12d	1E4	12	B	01
X1E4.6.12d	1E4	12	B	02
X1E4.7.12d	1E4	12	B	03
X1E4.5.14d	1E4	14	C	01
X1E4.8.14d	1E4	14	C	02
X1E4.10.14d	1E4	14	C	03
X1E4.3.28d	1E4	28	D	01
X1E4.4.28d	1E4	28	D	02
X1E4.6.28d	1E4	28	D	03
