"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","moduleColour","moduleNumber"
"GO:0007165","signal transduction","9/48","78/2102",4.34390606715766e-05,0.00681993252543753,0.00619578181157751,"MYCGRDRAFT_107138/MYCGRDRAFT_65942/MYCGRDRAFT_33550/MYCGRDRAFT_67041/MYCGRDRAFT_101362/MYCGRDRAFT_64195/MgRho3/Ste50/MYCGRDRAFT_99715",9,"lightcyan","M16"
"GO:0023052","signaling","9/48","78/2102",4.34390606715766e-05,0.00681993252543753,0.00619578181157751,"MYCGRDRAFT_107138/MYCGRDRAFT_65942/MYCGRDRAFT_33550/MYCGRDRAFT_67041/MYCGRDRAFT_101362/MYCGRDRAFT_64195/MgRho3/Ste50/MYCGRDRAFT_99715",9,"lightcyan","M16"
"GO:0007154","cell communication","9/48","82/2102",6.51627778948285e-05,0.00682037075299206,0.00619617993315738,"MYCGRDRAFT_107138/MYCGRDRAFT_65942/MYCGRDRAFT_33550/MYCGRDRAFT_67041/MYCGRDRAFT_101362/MYCGRDRAFT_64195/MgRho3/Ste50/MYCGRDRAFT_99715",9,"lightcyan","M16"
"GO:0006996","organelle organization","14/48","226/2102",0.000313877255028514,0.0246393645197384,0.0223844042401914,"MYCGRDRAFT_98287/MYCGRDRAFT_89963/MYCGRDRAFT_26915/MYCGRDRAFT_33593/MYCGRDRAFT_48531/MYCGRDRAFT_64195/MgRho3/MYCGRDRAFT_107946/MYCGRDRAFT_37456/MYCGRDRAFT_108219/MYCGRDRAFT_99715/MYCGRDRAFT_87035/CPG2401/MYCGRDRAFT_62030",14,"lightcyan","M16"
"GO:0008202","steroid metabolic process","4/48","17/2102",0.0004584135629575,0.028788371753731,0.0261537001182069,"MYCGRDRAFT_77167/ERG4/MYCGRDRAFT_70899/ERG8",4,"lightcyan","M16"
"GO:0050789","regulation of biological process","14/48","250/2102",0.000900410050435108,0.0406698772473501,0.0369478267986318,"MYCGRDRAFT_107138/MYCGRDRAFT_65942/MYCGRDRAFT_33550/MYCGRDRAFT_67041/MYCGRDRAFT_89963/MYCGRDRAFT_31461/MYCGRDRAFT_33593/MYCGRDRAFT_101362/MYCGRDRAFT_64195/RDR2402/MgRho3/MYCGRDRAFT_107946/Ste50/MYCGRDRAFT_99715",14,"lightcyan","M16"
"GO:0035556","intracellular signal transduction","6/48","52/2102",0.000946162995654232,0.0406698772473501,0.0369478267986318,"MYCGRDRAFT_107138/MYCGRDRAFT_67041/MYCGRDRAFT_101362/MYCGRDRAFT_64195/MgRho3/MYCGRDRAFT_99715",6,"lightcyan","M16"
"GO:0050794","regulation of cellular process","13/48","225/2102",0.00107834833965505,0.0406698772473501,0.0369478267986318,"MYCGRDRAFT_107138/MYCGRDRAFT_65942/MYCGRDRAFT_33550/MYCGRDRAFT_67041/MYCGRDRAFT_89963/MYCGRDRAFT_31461/MYCGRDRAFT_33593/MYCGRDRAFT_101362/MYCGRDRAFT_64195/MgRho3/MYCGRDRAFT_107946/Ste50/MYCGRDRAFT_99715",13,"lightcyan","M16"
"GO:0000902","cell morphogenesis","3/48","10/2102",0.00119902636194229,0.0406698772473501,0.0369478267986318,"MYCGRDRAFT_31461/MYCGRDRAFT_33593/MYCGRDRAFT_161269",3,"lightcyan","M16"
"GO:0007264","small GTPase mediated signal transduction","4/48","22/2102",0.00129521902061625,0.0406698772473501,0.0369478267986318,"MYCGRDRAFT_107138/MYCGRDRAFT_67041/MYCGRDRAFT_101362/MgRho3",4,"lightcyan","M16"
"GO:0065007","biological regulation","15/48","295/2102",0.00155721987377091,0.0437258764528725,0.0397241452186673,"MYCGRDRAFT_107138/MYCGRDRAFT_65942/MYCGRDRAFT_33550/MYCGRDRAFT_67041/MYCGRDRAFT_89963/MYCGRDRAFT_31461/MYCGRDRAFT_33593/MYCGRDRAFT_101362/MYCGRDRAFT_64195/RDR2402/MgRho3/MYCGRDRAFT_107946/Ste50/MYCGRDRAFT_99715/MYCGRDRAFT_61522",15,"lightcyan","M16"
"GO:0016043","cellular component organization","15/48","297/2102",0.00167105260329449,0.0437258764528725,0.0397241452186673,"MYCGRDRAFT_98287/MYCGRDRAFT_89963/MYCGRDRAFT_26915/MYCGRDRAFT_31461/MYCGRDRAFT_33593/MYCGRDRAFT_48531/MYCGRDRAFT_64195/MgRho3/MYCGRDRAFT_107946/MYCGRDRAFT_37456/MYCGRDRAFT_108219/MYCGRDRAFT_99715/MYCGRDRAFT_87035/CPG2401/MYCGRDRAFT_62030",15,"lightcyan","M16"
"GO:0009056","catabolic process","60/231","226/2102",1.99484670704049e-12,1.10713992240747e-09,9.86924160325296e-10,"MYCGRDRAFT_32625/NTC1/MYCGRDRAFT_102177/MYCGRDRAFT_98331/MYCGRDRAFT_65568/MYCGRDRAFT_29486/MYCGRDRAFT_83726/MYCGRDRAFT_107202/MYCGRDRAFT_66166/MgGlo1/MYCGRDRAFT_66573/MgPME1/MYCGRDRAFT_53825/MYCGRDRAFT_31712/MYCGRDRAFT_84158/MYCGRDRAFT_67317/MgPP2Aregb1/PGK1/MgEND1/MYCGRDRAFT_76259/MYCGRDRAFT_48706/MYCGRDRAFT_76425/MYCGRDRAFT_76524/ABFa/MgAGL5/C1,2O-2/MYCGRDRAFT_55128/MYCGRDRAFT_28674/MYCGRDRAFT_55400/MYCGRDRAFT_55479/MYCGRDRAFT_37498/MYCGRDRAFT_108219/MgABFB3/TPI1/MYCGRDRAFT_69205/MYCGRDRAFT_69333/MYCGRDRAFT_85027/MYCGRDRAFT_103601/MgAMY2/PATPB2401/MYCGRDRAFT_70166/MYCGRDRAFT_70268/MgBGL10/MYCGRDRAFT_92237/MgBGL1/MYCGRDRAFT_104004/MgABFA2/MgXBX3/MgBgl8/MYCGRDRAFT_71411/MYCGRDRAFT_109253/MYCGRDRAFT_100205/MYCGRDRAFT_41530/MYCGRDRAFT_100252/MgPel2/MYCGRDRAFT_42149/MYCGRDRAFT_100854/MgABN1/MYCGRDRAFT_74348/MYCGRDRAFT_61250",60,"green","M5"
