"ID","Description","p.adjust","qvalue","geneID","Count","moduleNumber"
"GO:0007165","signal transduction",0.00681993252543753,0.00619578181157751,"MYCGRDRAFT_107138/MYCGRDRAFT_65942/MYCGRDRAFT_33550/MYCGRDRAFT_67041/MYCGRDRAFT_101362/MYCGRDRAFT_64195/MgRho3/Ste50/MYCGRDRAFT_99715",9,"M16"
"GO:0023052","signaling",0.00681993252543753,0.00619578181157751,"MYCGRDRAFT_107138/MYCGRDRAFT_65942/MYCGRDRAFT_33550/MYCGRDRAFT_67041/MYCGRDRAFT_101362/MYCGRDRAFT_64195/MgRho3/Ste50/MYCGRDRAFT_99715",9,"M16"
"GO:0007154","cell communication",0.00682037075299206,0.00619617993315738,"MYCGRDRAFT_107138/MYCGRDRAFT_65942/MYCGRDRAFT_33550/MYCGRDRAFT_67041/MYCGRDRAFT_101362/MYCGRDRAFT_64195/MgRho3/Ste50/MYCGRDRAFT_99715",9,"M16"
"GO:0006996","organelle organization",0.0246393645197384,0.0223844042401914,"MYCGRDRAFT_98287/MYCGRDRAFT_89963/MYCGRDRAFT_26915/MYCGRDRAFT_33593/MYCGRDRAFT_48531/MYCGRDRAFT_64195/MgRho3/MYCGRDRAFT_107946/MYCGRDRAFT_37456/MYCGRDRAFT_108219/MYCGRDRAFT_99715/MYCGRDRAFT_87035/CPG2401/MYCGRDRAFT_62030",14,"M16"
"GO:0008202","steroid metabolic process",0.028788371753731,0.0261537001182069,"MYCGRDRAFT_77167/ERG4/MYCGRDRAFT_70899/ERG8",4,"M16"
"GO:0050789","regulation of biological process",0.0406698772473501,0.0369478267986318,"MYCGRDRAFT_107138/MYCGRDRAFT_65942/MYCGRDRAFT_33550/MYCGRDRAFT_67041/MYCGRDRAFT_89963/MYCGRDRAFT_31461/MYCGRDRAFT_33593/MYCGRDRAFT_101362/MYCGRDRAFT_64195/RDR2402/MgRho3/MYCGRDRAFT_107946/Ste50/MYCGRDRAFT_99715",14,"M16"
"GO:0035556","intracellular signal transduction",0.0406698772473501,0.0369478267986318,"MYCGRDRAFT_107138/MYCGRDRAFT_67041/MYCGRDRAFT_101362/MYCGRDRAFT_64195/MgRho3/MYCGRDRAFT_99715",6,"M16"
"GO:0050794","regulation of cellular process",0.0406698772473501,0.0369478267986318,"MYCGRDRAFT_107138/MYCGRDRAFT_65942/MYCGRDRAFT_33550/MYCGRDRAFT_67041/MYCGRDRAFT_89963/MYCGRDRAFT_31461/MYCGRDRAFT_33593/MYCGRDRAFT_101362/MYCGRDRAFT_64195/MgRho3/MYCGRDRAFT_107946/Ste50/MYCGRDRAFT_99715",13,"M16"
"GO:0000902","cell morphogenesis",0.0406698772473501,0.0369478267986318,"MYCGRDRAFT_31461/MYCGRDRAFT_33593/MYCGRDRAFT_161269",3,"M16"
"GO:0007264","small GTPase mediated signal transduction",0.0406698772473501,0.0369478267986318,"MYCGRDRAFT_107138/MYCGRDRAFT_67041/MYCGRDRAFT_101362/MgRho3",4,"M16"
"GO:0065007","biological regulation",0.0437258764528725,0.0397241452186673,"MYCGRDRAFT_107138/MYCGRDRAFT_65942/MYCGRDRAFT_33550/MYCGRDRAFT_67041/MYCGRDRAFT_89963/MYCGRDRAFT_31461/MYCGRDRAFT_33593/MYCGRDRAFT_101362/MYCGRDRAFT_64195/RDR2402/MgRho3/MYCGRDRAFT_107946/Ste50/MYCGRDRAFT_99715/MYCGRDRAFT_61522",15,"M16"
