"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","moduleColour","moduleNumber"
"GO:0005667","transcription regulator complex","4/50","24/2603",0.000964859635883538,0.0385943854353415,0.0385943854353415,"MYCGRDRAFT_33410/MYCGRDRAFT_37171/MYCGRDRAFT_91858/MYCGRDRAFT_105665",4,"cyan","M14"
"GO:0000502","proteasome complex","11/240","16/2603",9.49036454488622e-09,1.04906444091707e-06,9.95822448614891e-07,"MYCGRDRAFT_102177/MYCGRDRAFT_107306/MYCGRDRAFT_66573/MYCGRDRAFT_53825/MYCGRDRAFT_55400/MYCGRDRAFT_55479/MYCGRDRAFT_68817/PATPB2401/MYCGRDRAFT_104004/MYCGRDRAFT_74348/MYCGRDRAFT_61250",11,"green","M5"
"GO:1905369","endopeptidase complex","12/240","20/2603",1.87332935878049e-08,1.04906444091707e-06,9.95822448614891e-07,"MYCGRDRAFT_102177/MYCGRDRAFT_30209/MYCGRDRAFT_107306/MYCGRDRAFT_66573/MYCGRDRAFT_53825/MYCGRDRAFT_55400/MYCGRDRAFT_55479/MYCGRDRAFT_68817/PATPB2401/MYCGRDRAFT_104004/MYCGRDRAFT_74348/MYCGRDRAFT_61250",12,"green","M5"
"GO:1905368","peptidase complex","12/240","29/2603",3.60762766447672e-06,0.000134684766140464,0.000127849261091982,"MYCGRDRAFT_102177/MYCGRDRAFT_30209/MYCGRDRAFT_107306/MYCGRDRAFT_66573/MYCGRDRAFT_53825/MYCGRDRAFT_55400/MYCGRDRAFT_55479/MYCGRDRAFT_68817/PATPB2401/MYCGRDRAFT_104004/MYCGRDRAFT_74348/MYCGRDRAFT_61250",12,"green","M5"
"GO:0140535","intracellular protein-containing complex","20/240","104/2603",0.000952217894438261,0.0266621010442713,0.0253089492995432,"MYCGRDRAFT_102177/MYCGRDRAFT_29486/MYCGRDRAFT_107306/MYCGRDRAFT_66573/MYCGRDRAFT_53825/MgPP2Aregb1/MYCGRDRAFT_48420/MYCGRDRAFT_76524/MYCGRDRAFT_28674/MYCGRDRAFT_55400/MYCGRDRAFT_55479/MYCGRDRAFT_37498/MYCGRDRAFT_68817/PATPB2401/MYCGRDRAFT_20505/MYCGRDRAFT_104004/MgPP2AregA/MYCGRDRAFT_74348/MYCGRDRAFT_61250/PP2Aregb2",20,"green","M5"
"GO:0030684","preribosome","5/75","23/2603",0.000389481203857205,0.0268742030661472,0.0213189711584997,"MYCGRDRAFT_107239/MYCGRDRAFT_68784/MYCGRDRAFT_100069/MYCGRDRAFT_41683/MYCGRDRAFT_72348",5,"greenyellow","M11"
"GO:0005740","mitochondrial envelope","11/75","130/2603",0.000996666005546329,0.0343849771913484,0.0272771748886364,"MYCGRDRAFT_65481/MYCGRDRAFT_102272/SDH1/MYCGRDRAFT_96217/MYCGRDRAFT_31040/MYCGRDRAFT_13719/TH1/MYCGRDRAFT_70050/MYCGRDRAFT_108883/MYCGRDRAFT_100120/MYCGRDRAFT_100323",11,"greenyellow","M11"
"GO:0005730","nucleolus","20/205","65/2603",4.04883236696351e-08,3.40101918824934e-06,3.0685887412776e-06,"MYCGRDRAFT_65330/MYCGRDRAFT_65342/MYCGRDRAFT_32817/MYCGRDRAFT_102491/MYCGRDRAFT_66559/MYCGRDRAFT_67666/MYCGRDRAFT_101428/MYCGRDRAFT_11322/MYCGRDRAFT_90616/MYCGRDRAFT_99074/MYCGRDRAFT_99211/MYCGRDRAFT_91439/MYCGRDRAFT_56835/MYCGRDRAFT_69939/MYCGRDRAFT_40901/MYCGRDRAFT_71900/MYCGRDRAFT_109531/MYCGRDRAFT_74360/MYCGRDRAFT_87034/MYCGRDRAFT_87527",20,"turquoise","M1"
"GO:0031981","nuclear lumen","24/205","139/2603",0.000138890790428184,0.00476643096412096,0.00430053921574824,"MYCGRDRAFT_29663/MYCGRDRAFT_65330/MYCGRDRAFT_65342/MYCGRDRAFT_32817/MYCGRDRAFT_102491/MYCGRDRAFT_66559/MYCGRDRAFT_67666/MYCGRDRAFT_101428/MYCGRDRAFT_11322/MYCGRDRAFT_51197/MYCGRDRAFT_90616/MYCGRDRAFT_99074/MYCGRDRAFT_99211/MYCGRDRAFT_91439/MYCGRDRAFT_56835/MYCGRDRAFT_69939/MYCGRDRAFT_40901/MYCGRDRAFT_99975/MYCGRDRAFT_71900/MYCGRDRAFT_109531/MYCGRDRAFT_74360/MYCGRDRAFT_87034/EPL2401/MYCGRDRAFT_87527",24,"turquoise","M1"
"GO:0005576","extracellular region","11/205","43/2603",0.000335209447154827,0.00476643096412096,0.00430053921574824,"MgBMN2/MYCGRDRAFT_111027/MgRHA1/MYCGRDRAFT_37519/MYCGRDRAFT_90411/MYCGRDRAFT_84465/MYCGRDRAFT_37389/MYCGRDRAFT_38337/MYCGRDRAFT_38910/MgABFB2/MYCGRDRAFT_105487",11,"turquoise","M1"
