"M2"	"M21"	"M5"	"M24"	"M3"	"M18"	"M23"	"M13"	"M16"	"M10"	"M6"	"M8"	"M14"	"M15"	"M11"	"M1"	"M22"	"M26"	"Sample"	"Isolate"	"DPI"	"Stage"	"Replicate"
"Zt05_Ta_A_01"	-0.169217762046529	-0.052810407875636	0.0523967301357617	0.0769180674843415	0.15548298484783	0.156499978723469	0.0775855977963309	-0.0617124605235612	0.0658012074144569	0.0149188259552925	0.0364060202458057	0.0663942718597036	0.0732574400892835	0.0564164185606739	-0.024065983824721	-0.119394371074654	0.0775241392079949	0.0458771976068792	"Zt05_A_01"	"Zt05"	3	"A"	1
"Zt05_Ta_A_02"	-0.175815923201206	-0.0418579562820529	0.0737598963330131	0.0792825149801306	0.158765893731404	0.164338732469756	0.0773022122614669	-0.0461329101941891	0.0570025416051748	0.0110333347013924	0.0259785359541143	0.0585393804020026	0.0796835390972622	0.0479458123735215	-0.00935856646153888	-0.119941853986869	0.0763252525242172	0.0459373803950798	"Zt05_A_02"	"Zt05"	3	"A"	2
"Zt05_Ta_B_01"	-0.17370120920807	-0.0782572483255392	0.0417737250636533	0.0690559722871483	0.162325610919724	0.163914049801948	0.0685492789489126	-0.0455996397378562	0.0777856178773174	0.0219259121546924	0.0363230528636166	0.079312359634634	0.0750761331553238	0.064437408345459	-0.0288030796007491	-0.049133428042621	0.0849691897083402	0.0532056000394638	"Zt05_B_01"	"Zt05"	7	"B"	1
"Zt05_Ta_B_02"	-0.170183936684661	-0.096332717381748	0.0271478134760385	0.0625653765781638	0.147323970023854	0.159312814742296	0.0616522489349193	-0.0382092320374149	0.0693862893828739	0.0111174440475142	0.0236826011815151	0.0676397574169903	0.0672265778538223	0.0521069690727038	-0.0253026046580307	-0.0212197705829333	0.0879051483608777	0.0595816199050139	"Zt05_B_02"	"Zt05"	7	"B"	2
"Zt05_Ta_C_01"	-0.100043362057198	-0.0476992909292216	0.0737842809795255	0.0778241812343477	0.146231990150083	0.105719546690943	0.0960014499666616	0.181417619006157	0.0962636504638877	0.0254569507784883	0.0507412957313444	0.097597556625553	0.0741947315430747	0.0800044473301575	-0.0919055278536561	0.0346958332037373	0.0830013777016616	-0.0202069335300883	"Zt05_C_01"	"Zt05"	12	"C"	1
"Zt05_Ta_C_02"	-0.114596578218498	-0.0578776995287039	0.0735025154780628	0.0799814871061244	0.147854941811338	0.112925045288154	0.0926387711728852	0.169873164021523	0.0956408957262863	0.0267306675547109	0.0465665175511167	0.0926239857782495	0.0767447539315749	0.0775182964329602	-0.0801218544903378	0.0413035359521769	0.0822513644601298	-0.00613628459952554	"Zt05_C_02"	"Zt05"	12	"C"	2
"Zt05_Ta_D_01"	-0.123635063810666	-0.0116815191206134	0.101434164735953	0.0805499486886203	0.154537055219853	0.120829912696628	0.0913372388578037	0.108889328915531	0.0751291496994069	0.026352691159954	0.0394372151540185	0.0862032409177072	0.0789794766217559	0.0714439446019549	-0.0558817341633553	-0.00413422099879446	0.0654351041609232	-0.0236227171064132	"Zt05_D_01"	"Zt05"	15	"D"	1
"Zt05_Ta_D_02"	-0.128978721257515	0.0195089671884082	0.132572011228091	0.0854654235592978	0.162208501388667	0.131891724513414	0.0927830038441597	0.0887297087403935	0.0583115337089206	0.0358681252521249	0.0421962425056798	0.0828065445877067	0.0814933119513973	0.0713629209198522	-0.0207656651727521	-0.048855104548821	0.0368208074867539	-0.0260852118787436	"Zt05_D_02"	"Zt05"	15	"D"	2
"Zt09_Ta_A_01"	-0.179751084911038	-0.0875565652991794	-0.00340829446785733	0.052672269541377	0.157820184586725	0.186878391929611	0.0506565094008074	-0.108566685180904	0.0918353305441273	0.014661728818374	0.0299625423878209	0.0837318105805445	0.0743954354689659	0.0635149955846082	-0.00650083803441905	-0.133290216412475	0.123686539698976	0.114121840067669	"Zt09_A_01"	"Zt09"	4	"A"	1
"Zt09_Ta_A_02"	-0.18157058674577	-0.0802517399216784	-0.00385088611501205	0.0592173709496763	0.154940757800382	0.18610833281299	0.0537851835031366	-0.116631561255637	0.0800234773087566	0.0102020440817524	0.0264495057777188	0.0729287747084257	0.0801710602787437	0.0571933970168977	0.00248486458731907	-0.149378191363917	0.111396823139245	0.110101972406281	"Zt09_A_02"	"Zt09"	4	"A"	2
