"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M13"	0.125021683240685	-6.15887067425794e-18	9.41245866727917	2.58836724347422e-12	4.6590610382536e-11	17.8092132611684
"M1"	0.126414116219911	1.6746406055849e-17	7.33891403282259	2.76943335491474e-09	2.49249001942327e-08	10.8699448980987
"M26"	-0.0850457559442144	-8.78203759713259e-18	-6.24798312242405	1.21049939001964e-07	7.26299634011787e-07	7.12609703168749
"M2"	0.0454981974319907	-1.17455235352596e-17	5.63191747479144	1.01597453395376e-06	4.57188540279192e-06	5.02710019069564
"M23"	0.027283192661911	-2.55841595979566e-18	4.70859332884317	2.30474914136808e-05	7.05876623525964e-05	1.96789763935502
"M18"	-0.0427851908756958	-2.44848990619643e-18	-4.70234158572131	2.35292207841988e-05	7.05876623525964e-05	1.94773893239296
"M11"	-0.0925050253781463	9.43255890062389e-18	-4.24191306242575	0.000105446122878272	0.000271147173115557	0.491406888143902
"M14"	0.0225207733545199	9.39039548280501e-18	4.19130222262072	0.000123953465070481	0.000278895296408582	0.33511945312751
"M15"	0.0681417029818962	-2.93638088381491e-18	3.17023059742132	0.00270407787096652	0.00540815574193304	-2.60467748605413
"M10"	0.0852777043512686	1.86723707483615e-18	2.94047873156266	0.0051056911980288	0.00919024415645185	-3.19741686711516
"M16"	0.075105934093043	-1.76303319936948e-17	2.62450851306829	0.011724613953837	0.0191857319244605	-3.96171202357941
"M8"	0.0691913793005659	1.89358921097295e-18	2.50784282764152	0.0157234531238266	0.0235851796857399	-4.22780061949571
"M21"	-0.0351593955953098	5.86523258587644e-18	-2.1198074989604	0.0394266423729755	0.0545907355933508	-5.04450076530971
"M24"	0.00947884447586126	6.47509630789954e-19	1.41199853392078	0.164652940013909	0.209752930859239	-6.23128142089438
"M5"	0.0173240796330857	-3.80073094910196e-18	1.37816077040443	0.174794109049366	0.209752930859239	-6.27730792667621
"M3"	0.00794202862004762	-8.89045781438114e-18	0.826656332020797	0.412682381362977	0.464267679033349	-6.87835326901666
"M22"	-0.005050633836464	1.10829555409629e-18	-0.445053853273383	0.658359805114505	0.697086852474182	-7.12261674746158
"M6"	0.0010849594447281	1.69557173085928e-18	0.0298664651342518	0.97630224161525	0.97630224161525	-7.22260009501583
