"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M13"	0.155378505430117	-6.15887067425794e-18	11.6979208904832	2.07917330808659e-15	3.74251195455586e-14	24.8109244595494
"M2"	0.08109854482793	-1.17455235352596e-17	10.0386463107533	3.44117067987663e-13	3.09705361188896e-12	19.6946853382485
"M18"	-0.078283463342791	-2.44848990619643e-18	-8.60380841166715	3.74609646683881e-11	2.24765788010329e-10	15.0005289850951
"M26"	-0.100103201754936	-8.78203759713259e-18	-7.35419549302037	2.62736905157646e-09	1.1823160732094e-08	10.7554247759335
"M23"	0.0346632498067459	-2.55841595979566e-18	5.98225980436395	3.03707328001223e-07	1.0933463808044e-06	6.03358013159042
"M5"	0.0706678330515985	-3.80073094910196e-18	5.62174945531898	1.05207897574192e-06	3.15623692722576e-06	4.80495547457028
"M11"	-0.118517110503552	9.43255890062389e-18	-5.43472397430143	1.99658551526011e-06	5.1340770392403e-06	4.17287692611842
"M24"	0.0281819118132201	6.47509630789954e-19	4.1980663639632	0.000121308202523775	0.000272943455678494	0.155114140406745
"M14"	0.0189803649141895	9.39039548280501e-18	3.53240292412199	0.000946864368872034	0.00189372873774407	-1.81975723143679
"M22"	-0.0313248398718748	1.10829555409629e-18	-2.76029526977351	0.00825476820963732	0.0148585827773472	-3.85106790768122
"M21"	0.0431853322679739	5.86523258587644e-18	2.60370207271025	0.0123614091654269	0.0202277604525167	-4.22083933664991
"M15"	0.0523302229038791	-2.93638088381491e-18	2.43461590421113	0.0188296953678153	0.0282445430517229	-4.60193148929221
"M6"	0.0819580956727003	1.69557173085928e-18	2.25611991192151	0.028840721743983	0.0399333070301303	-4.98262101847959
"M3"	0.0181044551695379	-8.89045781438114e-18	1.88442565743302	0.065809961518901	0.0846128076671585	-5.69893812403528
"M8"	0.0411990754435877	1.89358921097295e-18	1.49326125452479	0.142169479865837	0.170603375839005	-6.33186517126068
"M10"	0.0323025958641346	1.86723707483615e-18	1.11383270498813	0.271114193623113	0.305003467826003	-6.81719037822007
"M16"	0.010073198156085	-1.76303319936948e-17	0.351998741959826	0.72644029787154	0.754071513719943	-7.37743587842622
"M1"	0.00542841984210737	1.6746406055849e-17	0.315144445466758	0.754071513719943	0.754071513719943	-7.38992290735171
