"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M22"	-0.15620247117346	1.10829555409629e-18	-13.7643143291582	5.87238683265275e-18	1.0570296298775e-16	30.6096249313769
"M21"	0.182643978375572	5.86523258587644e-18	11.0118524065911	1.64708251075427e-14	1.02386239546871e-13	22.6335267371087
"M1"	-0.18948196788591	1.6746406055849e-17	-11.0002894824313	1.70643732578118e-14	1.02386239546871e-13	22.5979530519228
"M13"	-0.143974320669485	-6.15887067425794e-18	-10.8393384837274	2.79820597898649e-14	1.25919269054392e-13	22.1009979273378
"M5"	0.131276125106934	-3.80073094910196e-18	10.4432448675402	9.58524589727083e-14	3.4506885230175e-13	20.8639369221709
"M11"	0.135195671496954	9.43255890062389e-18	6.19953653936116	1.4317615992665e-07	4.29528479779949e-07	6.63447049260139
"M26"	-0.0656562388933311	-8.78203759713259e-18	-4.82351021438926	1.57365228475428e-05	4.04653444651102e-05	1.99295713990084
"M18"	0.0320864146846698	-2.44848990619643e-18	3.52648379077654	0.000963657465233191	0.00216822929677468	-1.99320905460761
"M16"	-0.098445830100976	-1.76303319936948e-17	-3.44009993745645	0.00124356451471298	0.00248712902942596	-2.23591043605227
"M3"	0.0163325241083377	-8.89045781438114e-18	1.69999191868421	0.0958585629739602	0.172545413353128	-6.17477381976494
"M10"	0.0364981807068459	1.86723707483615e-18	1.25850156175803	0.214535238072458	0.351057662300386	-6.80957584830011
"M8"	-0.0307942094222268	1.89358921097295e-18	-1.1161366923609	0.270137146257559	0.405205719386338	-6.97671484877974
"M24"	-0.00519106635853061	6.47509630789954e-19	-0.773277597960033	0.443298043076789	0.587661236567425	-7.30035145171919
"M2"	-0.00605882106921356	-1.17455235352596e-17	-0.749980926328876	0.457069850663553	0.587661236567425	-7.31820993116389
"M23"	0.00382442704287841	-2.55841595979566e-18	0.660028021056511	0.512514206061514	0.615017047273817	-7.38214962084878
"M6"	-0.0211419079230328	1.69557173085928e-18	-0.581988625402548	0.563404623415517	0.633830201342457	-7.43112967781896
"M15"	-0.0104709276669908	-2.93638088381491e-18	-0.487150361975821	0.628456000578972	0.654929221726548	-7.48247769779861
"M14"	0.00241709431316716	9.39039548280501e-18	0.449841246904967	0.654929221726548	0.654929221726548	-7.50020716113169
