"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M24"	0.325131904583951	6.47509630789954e-19	20.172041784172	1.54555854719565e-24	2.78200538495216e-23	45.6520256629698
"M23"	0.0392962825038734	-2.55841595979566e-18	2.82461254294852	0.00696705387891956	0.0516252648257632	-4.2304571634796
"M3"	0.0633067238488944	-8.89045781438114e-18	2.74444676447138	0.00860421080429386	0.0516252648257632	-4.42546777006877
"M5"	0.048905003525161	-3.80073094910196e-18	1.62037087892303	0.111961412156391	0.50382635470376	-6.68235253117249
"M13"	0.0435582522226102	-6.15887067425794e-18	1.36583931188648	0.178604196964094	0.566385558688167	-7.05218741583976
"M14"	0.0172079215024263	9.39039548280501e-18	1.33384546589345	0.188795186229389	0.566385558688167	-7.09458420825678
"M21"	0.0380292850381824	5.86523258587644e-18	0.954958737873914	0.34457044915913	0.80573614594269	-7.52453953133857
"M10"	0.0632018640226063	1.86723707483615e-18	0.907661368884047	0.368768978001871	0.80573614594269	-7.56866061328553
"M22"	-0.0230041210958368	1.10829555409629e-18	-0.844274650129111	0.402868072971345	0.80573614594269	-7.62439491486738
"M16"	0.0465367066726264	-1.76303319936948e-17	0.677299574190703	0.501594679608496	0.815215349413764	-7.75240539115841
"M15"	0.0324172059264425	-2.93638088381491e-18	0.628152182053768	0.532998309664448	0.815215349413764	-7.78484254175794
"M8"	0.0364702292599894	1.89358921097295e-18	0.550551870936754	0.584594206635547	0.815215349413764	-7.83116335259571
"M18"	0.0113753359761724	-2.44848990619643e-18	0.520710524242894	0.605056046158034	0.815215349413764	-7.84737395358227
"M6"	0.0417961859090886	1.69557173085928e-18	0.479201749301178	0.634056382877372	0.815215349413764	-7.86843745207246
"M26"	0.0100151362302042	-8.78203759713259e-18	0.306447078858996	0.760641569061445	0.912769882873735	-7.9374483630091
"M2"	-0.00261144100009603	-1.17455235352596e-17	-0.134633684943787	0.893486533883977	0.944776543821941	-7.97606973097073
"M11"	-0.00400651915881682	9.43255890062389e-18	-0.0765200215220794	0.939335911553971	0.944776543821941	-7.98232928735964
"M1"	-0.00288034887202396	1.6746406055849e-17	-0.0696454491965626	0.944776543821941	0.944776543821941	-7.98284193568514
