"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M14"	-0.354899582166372	9.39039548280501e-18	-27.5094931397351	2.75769051595683e-30	4.9638429287223e-29	58.8413374211947
"M24"	0.328652274026773	6.47509630789954e-19	20.390454798998	9.87260635741914e-25	8.88534572167722e-24	45.9042090307148
"M15"	-0.319386301380943	-2.93638088381491e-18	-6.18878760204546	1.48608301418467e-07	8.916498085108e-07	5.94076398626926
"M8"	-0.27125232670148	1.89358921097295e-18	-4.09480496809717	0.000168385795459431	0.000757736079567439	-0.993611824028844
"M10"	-0.27260774226742	1.86723707483615e-18	-3.91500346297274	0.000295821570762926	0.00106495765474653	-1.53916256901212
"M16"	-0.258822811219174	-1.76303319936948e-17	-3.76693136157616	0.000466888295825344	0.00140066488747603	-1.9791627301292
"M3"	-0.0772498430358766	-8.89045781438114e-18	-3.34890306883944	0.00162243928467599	0.00417198673202398	-3.17023131269943
"M23"	-0.0447765210565817	-2.55841595979566e-18	-3.21853149833073	0.00235853980974462	0.00530671457192539	-3.52453172142334
"M11"	0.141495747104637	9.43255890062389e-18	2.70241004336716	0.00959825521425029	0.0191965104285006	-4.83438753102077
"M5"	-0.0688704207814175	-3.80073094910196e-18	-2.28188561924896	0.0271510353708362	0.0488718636675051	-5.77684728829262
"M18"	-0.0342604658786962	-2.44848990619643e-18	-1.56828643882434	0.123641035150246	0.20232169388222	-7.07224106542629
"M22"	-0.0389021559038508	1.10829555409629e-18	-1.42774870329368	0.160091422638334	0.22908726237742	-7.27720999333466
"M13"	-0.0449434643962955	-6.15887067425794e-18	-1.40927487565643	0.165451911717026	0.22908726237742	-7.30284861078879
"M2"	-0.0230771745335226	-1.17455235352596e-17	-1.18975119308643	0.240224542727924	0.308860126364474	-7.58377300313921
"M21"	0.0407943560239232	5.86523258587644e-18	1.02439282521012	0.310985532979034	0.37318263957484	-7.7658259142718
"M26"	0.0277758045817088	-8.78203759713259e-18	0.849894997069796	0.399767884894647	0.449738870506477	-7.92965068458834
"M1"	-0.0315349681262024	1.6746406055849e-17	-0.762500349134923	0.449638353771853	0.470744626600805	-8.0005878444908
"M6"	-0.063430887222938	1.69557173085928e-18	-0.727247988203344	0.470744626600805	0.470744626600805	-8.02707995389418
