"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M23"	-0.266215167985535	-2.55841595979566e-18	-19.1355175274143	1.36897786028239e-23	2.4641601485083e-22	43.4817805637566
"M24"	0.0267692966028231	6.47509630789954e-19	1.66083783840294	0.103520953390718	0.672875484749843	-6.56576417017243
"M11"	0.0847963167395353	9.43255890062389e-18	1.61951452737305	0.112145914124974	0.672875484749843	-6.63110990504338
"M26"	0.036178993598457	-8.78203759713259e-18	1.10701908086571	0.274018255359462	0.811146696617038	-7.31550403733213
"M1"	0.0435308570195259	1.6746406055849e-17	1.05255516805014	0.298020838175746	0.811146696617038	-7.37403065042629
"M22"	0.0279099546926264	1.10829555409629e-18	1.02432373465035	0.311017804906151	0.811146696617038	-7.40326075795931
"M2"	-0.0176808118130542	-1.17455235352596e-17	-0.911539968585008	0.366744387666828	0.811146696617038	-7.51242600673395
"M21"	-0.0243187072506835	5.86523258587644e-18	-0.610670486166674	0.544411429077897	0.811146696617038	-7.74307429530386
"M10"	-0.0402642793115926	1.86723707483615e-18	-0.578247674214445	0.56590601446266	0.811146696617038	-7.76259116610952
"M5"	-0.01432689124603	-3.80073094910196e-18	-0.474693296947022	0.637242593779944	0.811146696617038	-7.81788417917342
"M15"	-0.0227680241693889	-2.93638088381491e-18	-0.44117880163721	0.661142070254398	0.811146696617038	-7.83347322153335
"M13"	0.013380110586082	-6.15887067425794e-18	0.419554966128165	0.67675582991305	0.811146696617038	-7.84293090157097
"M8"	-0.0266816573471252	1.89358921097295e-18	-0.402784316693858	0.688965322759777	0.811146696617038	-7.84994119058557
"M18"	0.00858767206977906	-2.44848990619643e-18	0.393104101263247	0.696051323204213	0.811146696617038	-7.85385836623682
"M6"	-0.0316426156669041	1.69557173085928e-18	-0.362789006944964	0.71841757259129	0.811146696617038	-7.86551300541041
"M16"	-0.0211940007094947	-1.76303319936948e-17	-0.308459465275868	0.759119791010956	0.811146696617038	-7.88407299252715
"M14"	-0.00386077049540038	9.39039548280501e-18	-0.299261663845859	0.766082991249425	0.811146696617038	-7.88691905361535
"M3"	0.00340380180898948	-8.89045781438114e-18	0.147560200459594	0.883332183207549	0.883332183207549	-7.92145926390767
