"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M14"	0.368246733173397	9.39039548280501e-18	28.5440769417827	5.49962852538135e-31	9.89933134568644e-30	60.449622775344
"M23"	-0.18214236442508	-2.55841595979566e-18	-13.092373486135	3.73312714398597e-17	3.35981442958737e-16	28.1858434722222
"M15"	0.329035483137997	-2.93638088381491e-18	6.37576098246202	7.77280358174092e-08	4.66368214904455e-07	6.55107759754121
"M3"	0.143960368693761	-8.89045781438114e-18	6.24091003377041	1.24053836809801e-07	5.58242265644107e-07	6.08473268287968
"M10"	0.295545326978434	1.86723707483615e-18	4.24441715764234	0.000104603964241183	0.000315671099474223	-0.567514603063763
"M8"	0.281040898614344	1.89358921097295e-18	4.24257252234007	0.000105223699824741	0.000315671099474223	-0.573263877237509
"M16"	0.284165517182305	-1.76303319936948e-17	4.135771470491	0.000147897900051995	0.000380308885847986	-0.904229583832497
"M5"	0.103448533060548	-3.80073094910196e-18	3.42756320122498	0.00129012998154743	0.00290279245848171	-2.98897794140983
"M13"	0.101881827204988	-6.15887067425794e-18	3.19466915367108	0.00252367555211997	0.00504735110423993	-3.62511443768999
"M18"	0.0542234739246477	-2.44848990619643e-18	2.48210106433048	0.016758029428091	0.0301644529705639	-5.38006881433787
"M1"	0.0721854762737044	1.6746406055849e-17	1.7454100679885	0.0875639380564778	0.143286444092418	-6.82631663370439
"M22"	0.0438079895006403	1.10829555409629e-18	1.60779778781492	0.114695254235803	0.172042881353705	-7.04835641477628
"M24"	0.023248927160002	6.47509630789954e-19	1.44242482357691	0.15593033812679	0.215903545098632	-7.29349627491444
"M11"	-0.0607059495239183	9.43255890062389e-18	-1.15941553751618	0.252246060882508	0.324316363991796	-7.65598641437806
"M6"	0.0735844574651224	1.69557173085928e-18	0.843660730559558	0.403207610768346	0.483849132922016	-7.97186077481779
"M21"	-0.0270837782364242	5.86523258587644e-18	-0.680104573502883	0.499833366264273	0.562312537047307	-8.09749936484687
"M26"	0.0184183252469524	-8.78203759713259e-18	0.563571162654907	0.575772323362286	0.609641283560067	-8.17087127835093
"M2"	0.00278492172037231	-1.17455235352596e-17	0.143577539557634	0.886458712340023	0.886458712340023	-8.32194651804411
