"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M24"	0.309721678415648	6.47509630789954e-19	19.2159506661123	1.15201281173163e-23	2.07362306111693e-22	43.6534197427319
"M3"	0.0891761593804377	-8.89045781438114e-18	3.86592777512526	0.00034440002896886	0.00309960026071974	-1.33205829916937
"M23"	0.0473735745635813	-2.55841595979566e-18	3.40520742396966	0.00137731804667274	0.00810660092851003	-2.65956619862891
"M5"	0.0999812546055634	-3.80073094910196e-18	3.31268176512234	0.00180146687300223	0.00810660092851003	-2.9143418386545
"M13"	0.0689245554036085	-6.15887067425794e-18	2.16124069541247	0.0358958204361757	0.129224953570233	-5.6667910249152
"M21"	0.070485217382975	5.86523258587644e-18	1.76996423054582	0.0833344041522996	0.250003212456899	-6.39039978519509
"M14"	0.0198429235557189	9.39039548280501e-18	1.53809358155976	0.130849411669624	0.333105729702132	-6.75972799225208
"M26"	-0.048077468250562	-8.78203759713259e-18	-1.47109328976352	0.148046990978725	0.333105729702132	-6.85777554322589
"M11"	-0.0610987256529731	9.43255890062389e-18	-1.16691712097486	0.249233725758559	0.498467451517118	-7.25209796999378
"M10"	0.063110029915213	1.86723707483615e-18	0.90634251107952	0.369459041638661	0.584191492894194	-7.5213516743186
"M15"	0.0454107972092858	-2.93638088381491e-18	0.879930596749749	0.383452683882853	0.584191492894194	-7.54501244579597
"M22"	-0.0236717677037315	1.10829555409629e-18	-0.868777959946593	0.389460995262796	0.584191492894194	-7.55480023975997
"M8"	0.0506972267204102	1.89358921097295e-18	0.765321567442068	0.447973504348652	0.620271006021211	-7.63981615376415
"M1"	-0.0195223208048149	1.6746406055849e-17	-0.472040319496208	0.639120751305808	0.821726680250325	-7.82335272087712
"M6"	0.0352111114313989	1.69557173085928e-18	0.403702534711331	0.688294628249816	0.82595355389978	-7.85375836835513
"M2"	0.00575376214183793	-1.17455235352596e-17	0.296637067204357	0.768073556330304	0.864082750871592	-7.89190950062706
"M18"	0.00408433856567698	-2.44848990619643e-18	0.186962220735634	0.852509146296777	0.868193322022087	-7.91893311414614
"M16"	0.0114661598056797	-1.76303319936948e-17	0.166879560442929	0.868193322022087	0.868193322022087	-7.92255607709633
