"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M24"	0.313199806845109	6.47509630789954e-19	19.4317429369434	7.27130307861602e-24	1.30883455415088e-22	44.1111781797804
"M23"	-0.262191839415842	-2.55841595979566e-18	-18.8463211042859	2.55790788012828e-23	2.30211709211545e-22	42.8433194603099
"M3"	0.0587461341842026	-8.89045781438114e-18	2.54673797797312	0.0142699804503437	0.0856198827020623	-4.85174929621198
"M11"	0.0666803243346206	9.43255890062389e-18	1.27351939449884	0.20920613111741	0.76545829551842	-7.13467202700304
"M26"	0.041304323487997	-8.78203759713259e-18	1.2638459414032	0.212627304310672	0.76545829551842	-7.14677269720063
"M13"	0.0356656829372796	-6.15887067425794e-18	1.1183550614487	0.269198765787659	0.807596297362976	-7.31830763245852
"M18"	0.018587042874457	-2.44848990619643e-18	0.850829273048016	0.399253977305277	0.983169663334817	-7.58145561837954
"M2"	-0.0138178181568752	-1.17455235352596e-17	-0.712382081875436	0.479811792294191	0.983169663334817	-7.69042017370844
"M14"	-0.0088571731211361	9.39039548280501e-18	-0.686550098836457	0.495798973485856	0.983169663334817	-7.70866383184676
"M22"	0.0158882565258866	1.10829555409629e-18	0.583115180261422	0.562652431173197	0.983169663334817	-7.77508323659738
"M5"	0.0153813144017909	-3.80073094910196e-18	0.509629529489731	0.612737727991932	0.983169663334817	-7.81578828955395
"M21"	0.0128842018920278	5.86523258587644e-18	0.323537010095512	0.747749083317529	0.983169663334817	-7.89458176158134
"M1"	-0.0119117954817998	1.6746406055849e-17	-0.288021480705074	0.774618894804761	0.983169663334817	-7.90564074067904
"M16"	-0.0182016715603942	-1.76303319936948e-17	-0.264908827436762	0.792258448325186	0.983169663334817	-7.91215014195831
"M10"	0.0115875948745753	1.86723707483615e-18	0.166413006777281	0.868558354824476	0.983169663334817	-7.93380223648336
"M8"	0.00830530417630673	1.89358921097295e-18	0.125376254708135	0.900769854811672	0.983169663334817	-7.93990854980623
"M15"	-0.00348881061046719	-2.93638088381491e-18	-0.0676031118385102	0.946393402673534	0.983169663334817	-7.94559554004442
"M6"	-0.00184992842084252	1.69557173085928e-18	-0.0212098045806839	0.983169663334817	0.983169663334817	-7.94769761861667
