"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M23"	-0.309565413979423	-2.55841595979566e-18	-22.2515285282556	2.51860784799978e-26	4.5334941263996e-25	49.75096183724
"M5"	-0.0845999402037726	-3.80073094910196e-18	-2.80305223563261	0.00737638015160547	0.0529220569131136	-4.38059779892469
"M26"	0.089381791738559	-8.78203759713259e-18	2.73493923116672	0.00882034281885227	0.0529220569131136	-4.54566896788048
"M11"	0.127779049987594	9.43255890062389e-18	2.4404365154737	0.0185638749697973	0.083537437364088	-5.22470356357879
"M14"	-0.028700096676855	9.39039548280501e-18	-2.22464368039622	0.0310313049100788	0.111712697676284	-5.68418309077763
"M22"	0.0395600242296181	1.10829555409629e-18	1.45189314020801	0.153291099965619	0.398083834525774	-7.03146819194772
"M21"	-0.0576010154909472	5.86523258587644e-18	-1.44642722045031	0.154810380093356	0.398083834525774	-7.03920116853421
"M3"	-0.030430025196235	-8.89045781438114e-18	-1.31918979715214	0.193608840490402	0.435619891103404	-7.2116278333621
"M13"	-0.0332588724663289	-6.15887067425794e-18	-1.04288563396377	0.302429599932848	0.569943036482815	-7.53480950574074
"M2"	-0.0195715802987131	-1.17455235352596e-17	-1.00901914907979	0.318222770865079	0.569943036482815	-7.56948289397414
"M15"	-0.048899607819753	-2.93638088381491e-18	-0.947533708588259	0.348298522295054	0.569943036482815	-7.62962894853375
"M10"	-0.0515224350406377	1.86723707483615e-18	-0.73992950430224	0.463087585649571	0.675475997965659	-7.80566060229856
"M18"	0.01450270430878	-2.44848990619643e-18	0.663867052312382	0.510076055143911	0.675475997965659	-7.85957641876371
"M8"	-0.0423919225441035	1.89358921097295e-18	-0.639945312733933	0.525370220639957	0.675475997965659	-7.87534861810925
"M16"	-0.0296678313660739	-1.76303319936948e-17	-0.431788387879691	0.667904356869514	0.756982958332125	-7.98847146846622
"M6"	-0.0370610398522415	1.69557173085928e-18	-0.424912339292015	0.672873740739667	0.756982958332125	-7.99146588243492
"M24"	0.00347812842946108	6.47509630789954e-19	0.215792270831082	0.830099889045081	0.85480426743789	-8.05967678334277
"M1"	0.00761052532301512	1.6746406055849e-17	0.184018838791134	0.85480426743789	0.85480426743789	-8.06615429325297
