"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M14"	0.287955725984558	9.39039548280501e-18	22.3204434904242	2.2095479172412e-26	3.97718625103416e-25	49.8813658599502
"M23"	-0.239112754317809	-2.55841595979566e-18	-17.1873989596466	1.0714270641654e-21	9.6428435774886e-21	38.9815573126729
"M3"	0.11755129620615	-8.89045781438114e-18	5.09603490621982	6.30894021386942e-06	3.78536412832165e-05	2.4270985508192
"M13"	0.150170536409213	-6.15887067425794e-18	4.70883958030608	2.30287160720228e-05	0.000103629222324103	1.15373285193073
"M6"	0.295017990064347	1.69557173085928e-18	3.38244109693777	0.00147185639140616	0.00529868300906216	-2.87051791847161
"M15"	0.167643581633392	-2.93638088381491e-18	3.24845027820325	0.0021659039909627	0.0064977119728881	-3.23668035934094
"M5"	0.0794843702193598	-3.80073094910196e-18	2.63355790919686	0.0114571429211408	0.0294612246543621	-4.78897636819497
"M2"	0.0305841257355552	-1.17455235352596e-17	1.57677448903134	0.12167322921029	0.273764765723152	-6.85068011132226
"M8"	0.0845154590874623	1.89358921097295e-18	1.27583909034343	0.208391887263551	0.416783774527101	-7.27010615843544
"M26"	0.0287378740865639	-8.78203759713259e-18	0.879332778308658	0.383773255244794	0.69079185944063	-7.69517451609189
"M18"	-0.017027830660453	-2.44848990619643e-18	-0.779455714406702	0.439687338941101	0.71948837281271	-7.77848069478459
"M24"	0.0102441068339088	6.47509630789954e-19	0.635571434798311	0.528192610380695	0.792288915571042	-7.88126206926958
"M22"	0.0123504735988863	1.10829555409629e-18	0.45327494726654	0.652473296452906	0.903424564319408	-7.98189891486657
"M11"	-0.0188552286041273	9.43255890062389e-18	-0.360113715022799	0.720403747393883	0.926233389506422	-8.02043157951673
"M1"	0.00887935270965631	1.6746406055849e-17	0.214698474217878	0.830947609611862	0.959773337735038	-8.06300901736316
"M21"	0.0046089739056229	5.86523258587644e-18	0.115736593506513	0.908363069328073	0.959773337735038	-8.07968702450493
"M16"	-0.00540497199387288	-1.76303319936948e-17	-0.0786644670779015	0.937639353304847	0.959773337735038	-8.08336428096916
"M10"	-0.00353118748481204	1.86723707483615e-18	-0.0507124673586255	0.959773337735038	0.959773337735038	-8.08520971471671
