"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M1"	0.130995277085722	1.6746406055849e-17	2.58617350929189	0.0129222643876385	0.232600758977492	-2.90834670928126
"M2"	0.0376777552610237	-1.17455235352596e-17	1.58603550641696	0.119555154820479	0.830797746383534	-4.65222911230664
"M13"	0.0570553042554779	-6.15887067425794e-18	1.46076232498718	0.150850811564502	0.830797746383534	-4.81988428467923
"M14"	-0.0212797493646329	9.39039548280501e-18	-1.34678409698211	0.184621721418563	0.830797746383534	-4.96156802429158
"M3"	-0.0289485794985501	-8.89045781438114e-18	-1.02467608452994	0.310853247523658	0.898726375298639	-5.3040062930059
"M5"	-0.0324892523541839	-3.80073094910196e-18	-0.878931891492498	0.383988319789004	0.898726375298639	-5.42988493293552
"M18"	-0.0198428425217188	-2.44848990619643e-18	-0.741635276133193	0.462063145961906	0.898726375298639	-5.5314251845886
"M24"	-0.0145750669463943	6.47509630789954e-19	-0.738337964126842	0.464044599023375	0.898726375298639	-5.53365813217239
"M23"	-0.0121516089393519	-2.55841595979566e-18	-0.713174113862784	0.479326239326395	0.898726375298639	-5.55037954009548
"M26"	0.0272566925790772	-8.78203759713259e-18	0.68096713303186	0.499292430721466	0.898726375298639	-5.5709548323873
"M15"	-0.0292739820981659	-2.93638088381491e-18	-0.46315405028678	0.645429098374949	0.934456230037597	-5.68554433669694
"M21"	-0.0189532544067377	5.86523258587644e-18	-0.388601621864741	0.699356584410279	0.934456230037597	-5.71485075222174
"M10"	-0.0287208418571969	1.86723707483615e-18	-0.336779385925263	0.737808807685874	0.934456230037597	-5.73222019348543
"M8"	-0.0235337859276702	1.89358921097295e-18	-0.290072072928258	0.773059520624606	0.934456230037597	-5.74575947953656
"M6"	-0.0301926959415203	1.69557173085928e-18	-0.282642851813981	0.778713525031331	0.934456230037597	-5.74772781884271
"M22"	-0.00621105516178901	1.10829555409629e-18	-0.186122064521344	0.853164132945899	0.959809649564136	-5.76867126346045
"M16"	-0.00706940000971695	-1.76303319936948e-17	-0.0840082781619823	0.933412935625769	0.988319578897873	-5.78145046527884
"M11"	-0.000750494112212473	9.43255890062389e-18	-0.0117033318471945	0.990712714574778	0.990712714574778	-5.78465788509439
