"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M24"	0.269538491209372	6.47509630789954e-19	16.7228796388828	3.19892307596313e-21	5.75806153673363e-20	38.0611245405113
"M13"	0.053843729597391	-6.15887067425794e-18	1.68835705819546	0.0980849511433261	0.867720596455266	-6.38723758520234
"M1"	0.0589831277292204	1.6746406055849e-17	1.42618363546817	0.160540231571929	0.867720596455266	-6.78272313802041
"M21"	-0.0465891783045594	5.86523258587644e-18	-1.16990742443974	0.248040206788552	0.867720596455266	-7.10995284993501
"M11"	-0.052865345132278	9.43255890062389e-18	-1.0096687890265	0.317914661681271	0.867720596455266	-7.28356971642016
"M3"	0.0210327976973894	-8.89045781438114e-18	0.911805098715266	0.366606254186147	0.867720596455266	-7.37758122203223
"M18"	-0.0182286669190455	-2.44848990619643e-18	-0.834424471290138	0.408337210655579	0.867720596455266	-7.44536923349815
"M2"	0.0154632453150116	-1.17455235352596e-17	0.797212610919876	0.429407146901138	0.867720596455266	-7.47589258990244
"M5"	-0.0238278827729943	-3.80073094910196e-18	-0.789489920635368	0.433860298227633	0.867720596455266	-7.48205755065498
"M22"	0.0130243547971264	1.10829555409629e-18	0.478007072893185	0.634900005220174	0.979096696815011	-7.68155863426572
"M14"	-0.00359928206491451	9.39039548280501e-18	-0.278992791899994	0.781495859794113	0.979096696815011	-7.75813501722949
"M26"	0.00885460657871413	-8.78203759713259e-18	0.270936735968621	0.787646941006142	0.979096696815011	-7.76039067128908
"M23"	0.00341349771825043	-2.55841595979566e-18	0.245361847379481	0.807263297366319	0.979096696815011	-7.76711487079478
"M16"	0.016743044973216	-1.76303319936948e-17	0.243679839890462	0.808557974301553	0.979096696815011	-7.76753382415539
"M10"	0.0115043231388669	1.86723707483615e-18	0.165217115820721	0.869494154990048	0.979096696815011	-7.78388029274506
"M15"	-0.00643737080997075	-2.93638088381491e-18	-0.12473772508796	0.901272546238933	0.979096696815011	-7.7898632682789
"M8"	0.0031148554602404	1.89358921097295e-18	0.0470216265740419	0.962698734001563	0.979096696815011	-7.79666943181407
"M6"	0.00229770935774681	1.69557173085928e-18	0.0263437038492675	0.979096696815011	0.979096696815011	-7.79744307157347
