"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M23"	-0.31553921128244	-2.55841595979566e-18	-22.6809244333128	1.12011528500031e-26	2.01620751300057e-25	50.5581033814448
"M24"	0.31247562591244	6.47509630789954e-19	19.3868128398746	7.99977525630295e-24	7.19979773067265e-23	43.9223162244662
"M18"	-0.0853823586399146	-2.44848990619643e-18	-3.90841139300087	0.000301939120858015	0.00181163472514809	-1.36817260924352
"M2"	0.0428252704164121	-1.17455235352596e-17	2.2078706601695	0.0322578378960104	0.13221674536275	-5.73750142793435
"M21"	0.0856662113693989	5.86523258587644e-18	2.15117631072012	0.036726873711875	0.13221674536275	-5.85185499248017
"M5"	0.0564441540671334	-3.80073094910196e-18	1.87016576920954	0.0678064194633906	0.192241291495968	-6.38194108890442
"M1"	-0.0753996187526808	1.6746406055849e-17	-1.82312648592116	0.074760502248432	0.192241291495968	-6.46450418245769
"M22"	-0.047200129128646	1.10829555409629e-18	-1.73229276354958	0.0898957861640547	0.202265518869123	-6.61875690360317
"M14"	-0.0180126044219977	9.39039548280501e-18	-1.39621921995787	0.169323617729223	0.328896236631779	-7.12806250099816
"M11"	0.0708289569140963	9.43255890062389e-18	1.35275362293628	0.1827201314621	0.328896236631779	-7.18664494726751
"M3"	0.0159838559768315	-8.89045781438114e-18	0.692925476985612	0.491826208791227	0.772932808886594	-7.8587590070747
"M16"	-0.0450506651488471	-1.76303319936948e-17	-0.655671587097292	0.51528853925773	0.772932808886594	-7.88414971782088
"M15"	-0.0249419502472418	-2.93638088381491e-18	-0.483303234338951	0.631163854614561	0.835704002224105	-7.98363155481087
"M13"	-0.0141598309816086	-6.15887067425794e-18	-0.444004357785275	0.659112856777289	0.835704002224105	-8.00214402613697
"M10"	0.0273374479221373	1.86723707483615e-18	0.392601480771647	0.696420001853421	0.835704002224105	-8.02400860249008
"M8"	-0.0207592792522023	1.89358921097295e-18	-0.313380537043595	0.75540251592372	0.849827830414185	-8.05247486656644
"M6"	0.0103452245819617	1.69557173085928e-18	0.118610098236538	0.906098655881978	0.918708101306204	-8.09536447817126
"M26"	0.00335380182783958	-8.78203759713259e-18	0.102620947892233	0.918708101306204	0.918708101306204	-8.09716931676674
