"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M23"	-0.31895270900069	-2.55841595979566e-18	-22.9262862806923	7.09061101681215e-27	1.27630998302619e-25	51.0136324198295
"M21"	0.132255389673958	5.86523258587644e-18	3.32108373515986	0.00175834148292429	0.0129635655081672	-3.0658292409847
"M1"	-0.134382746481901	1.6746406055849e-17	-3.24931012138933	0.0021605942513612	0.0129635655081672	-3.26088014872525
"M18"	-0.067153691720869	-2.44848990619643e-18	-3.07398692171073	0.00353966195689805	0.0159284788060412	-3.72588470433414
"M24"	0.0429371347030682	6.47509630789954e-19	2.66393320099188	0.0105997196171216	0.0321503716060171	-4.74430006699403
"M5"	0.0802720368401277	-3.80073094910196e-18	2.65965568984491	0.010716790535339	0.0321503716060171	-4.75437506606877
"M11"	0.123694302046374	9.43255890062389e-18	2.36242241196279	0.0224242313119978	0.0576623090879943	-5.42439517858401
"M22"	-0.0602244839257724	1.10829555409629e-18	-2.21029983644277	0.0320775875711767	0.0721745720351475	-5.74325999455867
"M13"	-0.0680035605789996	-6.15887067425794e-18	-2.13236141598074	0.0383259700069462	0.0766519400138925	-5.89998347729977
"M2"	0.0273620251014005	-1.17455235352596e-17	1.41065804924962	0.165045788836865	0.297082419906357	-7.11896558949245
"M14"	-0.0144133223570832	9.39039548280501e-18	-1.11722642805788	0.269675893867756	0.441287826329055	-7.4847173771172
"M16"	-0.0617937101220631	-1.76303319936948e-17	-0.899351426987754	0.373130805808627	0.559696208712941	-7.70406989188462
"M8"	-0.0238741347124427	1.89358921097295e-18	-0.360402163617637	0.720189505020051	0.918073901943495	-8.04710371723347
"M15"	-0.0185045794372711	-2.93638088381491e-18	-0.358565509250992	0.721554049151106	0.918073901943495	-8.04777578521703
"M10"	0.0158331247832704	1.86723707483615e-18	0.227384364950926	0.821128459602945	0.918073901943495	-8.08692972300026
"M3"	-0.00504894172055791	-8.89045781438114e-18	-0.218879621729654	0.827708217328825	0.918073901943495	-8.08886469869945
"M26"	-0.00550080475087456	-8.78203759713259e-18	-0.168315788076387	0.867069796279968	0.918073901943495	-8.09884865233659
"M6"	0.00804751522421488	1.69557173085928e-18	0.0922663943872702	0.92688545001795	0.92688545001795	-8.10895881419001
