"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M23"	-0.30003497046034	-2.55841595979566e-18	-21.5664812772539	9.42855914859881e-26	1.69714064674779e-24	48.4362923500316
"M14"	0.240680329115864	9.39039548280501e-18	18.6559640962841	3.87574416307097e-23	3.48816974676387e-22	42.360722574394
"M2"	0.116414788629794	-1.17455235352596e-17	6.00180206047348	2.83866365655759e-07	1.38597644255473e-06	5.53254484022841
"M18"	-0.130598633373089	-2.44848990619643e-18	-5.97820433537554	3.07994765012162e-07	1.38597644255473e-06	5.45141602923999
"M5"	0.145168974762251	-3.80073094910196e-18	4.80988778800196	1.64667747092419e-05	5.92803889532709e-05	1.51651050580772
"M21"	0.180553831905676	5.86523258587644e-18	4.53391272704253	4.09577336754646e-05	0.000116370058815257	0.623454669746227
"M1"	-0.186248444880189	1.6746406055849e-17	-4.50339774179066	4.52550228725998e-05	0.000116370058815257	0.52590912418796
"M22"	-0.0875608254725622	1.10829555409629e-18	-3.21357138500902	0.00239200132539755	0.00538200298214449	-3.29646628176094
"M13"	0.0763761961608607	-6.15887067425794e-18	2.39489892008816	0.020737129787235	0.04147425957447	-5.29334642134363
"M26"	-0.0725649770837882	-8.78203759713259e-18	-2.22037171973082	0.0313397067020928	0.0564114720637671	-5.66181819260287
"M16"	-0.0772706100814137	-1.76303319936948e-17	-1.12460367412251	0.266568001826515	0.395020251773139	-7.41543032892526
"M24"	0.0178852833604766	6.47509630789954e-19	1.1096502009883	0.272894243722522	0.395020251773139	-7.43203094813977
"M3"	0.0249365520315449	-8.89045781438114e-18	1.08103903312698	0.285292404058378	0.395020251773139	-7.46320596224866
"M11"	0.0427561864823988	9.43255890062389e-18	0.816595199010948	0.418352033479794	0.537881185902592	-7.71430065982534
"M6"	0.038572670964825	1.69557173085928e-18	0.442243496613971	0.660377141305082	0.792452569566098	-7.95256270460014
"M8"	-0.0251912926999099	1.89358921097295e-18	-0.380285882723153	0.705476605675615	0.793661181385067	-7.9784740073192
"M10"	0.0173474412094809	1.86723707483615e-18	0.249131927963406	0.804363371437127	0.851678863874606	-8.02050698340175
"M15"	0.00613038992943537	-2.93638088381491e-18	0.118789318849784	0.905957450233443	0.905957450233443	-8.04495953569854
