"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M2"	0.0447087049915343	-1.17455235352596e-17	1.8820015436495	0.0661457784417817	0.984591387040233	-4.20842845100077
"M13"	0.0438097906138912	-6.15887067425794e-18	1.12164315709884	0.267812140344544	0.984591387040233	-5.21010810808767
"M18"	-0.0238477641765021	-2.44848990619643e-18	-0.891321046913569	0.377377108746593	0.984591387040233	-5.41990449330988
"M5"	0.0324073027579163	-3.80073094910196e-18	0.876714908692485	0.385179043936599	0.984591387040233	-5.43165668418717
"M11"	-0.050957991990639	9.43255890062389e-18	-0.794647527313696	0.430883205901261	0.984591387040233	-5.49419684283699
"M21"	0.0253904703984361	5.86523258587644e-18	0.520584896134429	0.60514288510197	0.984591387040233	-5.65950696768857
"M3"	0.00820147436562121	-8.89045781438114e-18	0.290302833020126	0.772884098045439	0.984591387040233	-5.74569752615722
"M1"	0.0132560890399316	1.6746406055849e-17	0.261708262118881	0.794710029965996	0.984591387040233	-5.75300062767311
"M22"	-0.00859543592738474	1.10829555409629e-18	-0.257573027222154	0.797880653193304	0.984591387040233	-5.75399436313456
"M15"	0.0145449208635656	-2.93638088381491e-18	0.230120350093511	0.819014480224757	0.984591387040233	-5.76019133040141
"M23"	0.00358955099978644	-2.55841595979566e-18	0.210669621299918	0.834071819584046	0.984591387040233	-5.76416075836532
"M8"	0.0167965099050015	1.89358921097295e-18	0.207029946693585	0.836896567102388	0.984591387040233	-5.76486470337013
"M26"	-0.00807549202487941	-8.78203759713259e-18	-0.201753922859483	0.840995132542854	0.984591387040233	-5.76586339525175
"M16"	0.0144542171622514	-1.76303319936948e-17	0.171764774140817	0.864372875666032	0.984591387040233	-5.77105110987521
"M14"	0.00262037035574772	9.39039548280501e-18	0.165841855693552	0.869005264308841	0.984591387040233	-5.77197732972544
"M6"	0.0151510947194696	1.69557173085928e-18	0.141833926586385	0.887828087661607	0.984591387040233	-5.7753992002514
"M10"	0.00687366034428257	1.86723707483615e-18	0.0806002526428816	0.936108125300322	0.984591387040233	-5.78171044872007
"M24"	-0.000383316386459109	6.47509630789954e-19	-0.0194178895668601	0.984591387040233	0.984591387040233	-5.78454660303344
