"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M24"	0.23045920590561	6.47509630789954e-19	14.2982976002427	1.40450955180805e-18	2.5281171932545e-17	32.0260902168967
"M2"	-0.0515147264025726	-1.17455235352596e-17	-2.65585837252089	0.0108217124545959	0.0973954120913629	-4.29614159878884
"M3"	0.0369708092373033	-8.89045781438114e-18	1.60274314673729	0.115809493490437	0.694856960942623	-6.3671163774365
"M18"	0.0285385700587875	-2.44848990619643e-18	1.30636438410095	0.197897216600262	0.822708432619819	-6.78708121084105
"M5"	0.0368315523343606	-3.80073094910196e-18	1.22034087570247	0.228530120172172	0.822708432619819	-6.89414853844371
"M26"	0.0361173873815209	-8.78203759713259e-18	1.10513402960073	0.274825553429584	0.824476660288753	-7.02679376411574
"M22"	-0.0183378799885688	1.10829555409629e-18	-0.673018853750533	0.50428915539933	0.990046600842185	-7.41142910055213
"M11"	0.0248635592377186	9.43255890062389e-18	0.474866090131858	0.637120349257205	0.990046600842185	-7.52651020917593
"M13"	0.0146422932470959	-6.15887067425794e-18	0.459132740929224	0.648292538079484	0.990046600842185	-7.5339645022058
"M14"	0.00392810193507954	9.39039548280501e-18	0.304480756431531	0.762129437829829	0.990046600842185	-7.59395625161994
"M21"	-0.0107120199195546	5.86523258587644e-18	-0.268991042355579	0.789134616034993	0.990046600842185	-7.6043107133773
"M1"	0.0105054864120118	1.6746406055849e-17	0.254017604360136	0.800609473052538	0.990046600842185	-7.60829615036883
"M6"	-0.0100782673102817	1.69557173085928e-18	-0.115549378967656	0.908510627256977	0.990046600842185	-7.63435568227525
"M10"	0.00739825869170269	1.86723707483615e-18	0.106248663948697	0.915845221530905	0.990046600842185	-7.63540679198702
"M23"	0.000912781610361249	-2.55841595979566e-18	0.0656106435855605	0.947971001443367	0.990046600842185	-7.63896574476931
"M15"	-0.00292133687581124	-2.93638088381491e-18	-0.056607103561573	0.955102368543465	0.990046600842185	-7.63952653738873
"M8"	0.00111537040990878	1.89358921097295e-18	0.0168375488288047	0.986638743369599	0.990046600842185	-7.64101515986625
"M16"	0.000861803980607728	-1.76303319936948e-17	0.0125427756030877	0.990046600842185	0.990046600842185	-7.64107947080461
