"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M24"	0.24170085858238	6.47509630789954e-19	14.995759412885	2.28076713372167e-19	4.105380840699e-18	33.8273838958942
"M14"	-0.179966503381135	9.39039548280501e-18	-13.9498256377901	3.55862972046452e-18	3.20276674841807e-17	31.0646409608073
"M2"	-0.01821975843762	-1.17455235352596e-17	-0.939325536036326	0.352450505972295	0.974539526216617	-7.24324585304214
"M18"	0.0166825712349836	-2.44848990619643e-18	0.763651327018713	0.448958704788619	0.974539526216617	-7.39336889346353
"M15"	-0.0380198673249121	-2.93638088381491e-18	-0.736715640321664	0.465021292357216	0.974539526216617	-7.41372208421419
"M22"	-0.0174066497925721	1.10829555409629e-18	-0.638841758062357	0.526081573568218	0.974539526216617	-7.4816531317053
"M26"	0.0177888828986199	-8.78203759713259e-18	0.544311238024536	0.588845766939791	0.974539526216617	-7.53823621146041
"M5"	0.0152611405576877	-3.80073094910196e-18	0.505647806079921	0.615508809978974	0.974539526216617	-7.55880740822309
"M16"	-0.0292774771278214	-1.76303319936948e-17	-0.426107135847573	0.672009182548752	0.974539526216617	-7.59640979119676
"M8"	-0.0254117734467421	1.89358921097295e-18	-0.383614243694197	0.703024687128529	0.974539526216617	-7.6138875366613
"M3"	0.00857578648875888	-8.89045781438114e-18	0.371773929386217	0.711761475970872	0.974539526216617	-7.61843291957117
"M6"	-0.0297815013378911	1.69557173085928e-18	-0.341450953658177	0.734312811243608	0.974539526216617	-7.62942750824309
"M11"	0.0172748038319108	9.43255890062389e-18	0.32992937475379	0.742945180466976	0.974539526216617	-7.63336119038366
"M10"	-0.0162527395892232	1.86723707483615e-18	-0.233410581978939	0.81647405756287	0.974539526216617	-7.66103016980461
"M23"	-0.00211879009931783	-2.55841595979566e-18	-0.152298403540293	0.879614974170861	0.974539526216617	-7.6769654437615
"M13"	-0.00402965557118667	-6.15887067425794e-18	-0.126356355263313	0.899998336889409	0.974539526216617	-7.68064898694212
"M1"	0.00278157275966087	1.6746406055849e-17	0.0672570903480098	0.946667360565069	0.974539526216617	-7.68648075940395
"M21"	-0.00127787028738169	5.86523258587644e-18	-0.0320887809376212	0.974539526216617	0.974539526216617	-7.68826172139274
