"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M14"	-0.183894605316215	9.39039548280501e-18	-14.2543063942217	1.57814900708172e-18	2.8406682127471e-17	31.9106359203159
"M2"	0.0332949679649526	-1.17455235352596e-17	1.71653283648456	0.0927654399414245	0.83488895947282	-6.18242351728401
"M3"	-0.0283950227485444	-8.89045781438114e-18	-1.23096921735107	0.224566490131086	0.937473356824801	-6.87821854366959
"M5"	-0.0215704117766728	-3.80073094910196e-18	-0.714693069622554	0.478395823139287	0.937473356824801	-7.37918116137351
"M24"	0.0112416526767704	6.47509630789954e-19	0.697461812642283	0.489010205238259	0.937473356824801	-7.39145015881359
"M15"	-0.0350985304491009	-2.93638088381491e-18	-0.680108536760091	0.499830880058865	0.937473356824801	-7.40350967809044
"M13"	-0.0186719488182826	-6.15887067425794e-18	-0.585489096192537	0.561069026113589	0.937473356824801	-7.4640133321421
"M26"	-0.018328504482901	-8.78203759713259e-18	-0.560822791576198	0.577629207212851	0.937473356824801	-7.47832216860537
"M18"	-0.0118559988238039	-2.44848990619643e-18	-0.542713057082238	0.589936927427594	0.937473356824801	-7.48844080128072
"M16"	-0.0301392811084291	-1.76303319936948e-17	-0.438649911450661	0.66296041298458	0.937473356824801	-7.54021604137946
"M8"	-0.0265271438566509	1.89358921097295e-18	-0.400451792523002	0.690670204392512	0.937473356824801	-7.55648955607671
"M10"	-0.0236509982809259	1.86723707483615e-18	-0.339659245927636	0.735652979181945	0.937473356824801	-7.57935258967351
"M21"	0.00943414963217296	5.86523258587644e-18	0.236902261417958	0.813780272305849	0.937473356824801	-7.60949192618713
"M6"	-0.0197032340276093	1.69557173085928e-18	-0.225901574690521	0.822274710527473	0.937473356824801	-7.61208369407521
"M23"	-0.00303157170967908	-2.55841595979566e-18	-0.217909047125854	0.828459913682126	0.937473356824801	-7.61388962798968
"M1"	-0.00772391365235092	1.6746406055849e-17	-0.186760514012126	0.852666387502719	0.937473356824801	-7.62030813765205
"M11"	-0.00758875540580779	9.43255890062389e-18	-0.144936715378068	0.885391503667867	0.937473356824801	-7.62737433986069
"M22"	0.000931230195996724	1.10829555409629e-18	0.0341770956881757	0.972883215787411	0.972883215787411	-7.63748291794767
