"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M23"	-0.297889129247405	-2.55841595979566e-18	-21.4122384425879	1.27524887243515e-25	2.29544797038327e-24	48.1355848888108
"M14"	0.174662214560484	9.39039548280501e-18	13.538671879783	1.08607026861328e-17	9.77463241751954e-17	29.6834443059196
"M22"	0.0315935889611103	1.10829555409629e-18	1.15951686027647	0.252205199840901	0.982152865338987	-7.36868578646745
"M26"	0.034993471307726	-8.78203759713259e-18	1.0707440033664	0.289848398113652	0.982152865338987	-7.46706493407577
"M3"	0.0206716839908245	-8.89045781438114e-18	0.896150247487241	0.37481984985847	0.982152865338987	-7.63868437891096
"M5"	0.0263218660637696	-3.80073094910196e-18	0.872123140257034	0.387652649875604	0.982152865338987	-7.66000442326353
"M18"	-0.0173036523424611	-2.44848990619643e-18	-0.792081561497008	0.432362809634528	0.982152865338987	-7.72697341360204
"M11"	0.0362507705951624	9.43255890062389e-18	0.692349053174866	0.492184675699311	0.982152865338987	-7.80162759666164
"M21"	0.0172476197490829	5.86523258587644e-18	0.433107411048519	0.66695279432292	0.982152865338987	-7.9494506968602
"M1"	0.0108182418138594	1.6746406055849e-17	0.261579879424066	0.794808412925843	0.982152865338987	-8.01009014313556
"M15"	0.0101987382775425	-2.93638088381491e-18	0.197622204633249	0.844207885374346	0.982152865338987	-8.02506028754198
"M10"	0.0110336302576741	1.86723707483615e-18	0.158457350875897	0.874787269787467	0.982152865338987	-8.03217204081245
"M24"	0.00255213680038075	6.47509630789954e-19	0.158341305329851	0.874878188467696	0.982152865338987	-8.03219079121965
"M8"	0.00399534361538532	1.89358921097295e-18	0.06031341033819	0.952166258359672	0.982152865338987	-8.0431255306438
"M16"	0.0040028725418567	-1.76303319936948e-17	0.0582581807348636	0.953794316629971	0.982152865338987	-8.04324987981809
"M6"	0.00480897100486609	1.69557173085928e-18	0.0551358280127031	0.956268079490052	0.982152865338987	-8.04343054597054
"M13"	0.00146919618189511	-6.15887067425794e-18	0.0460690179176709	0.963453866726757	0.982152865338987	-8.04389878384175
"M2"	-0.000436257585358923	-1.17455235352596e-17	-0.0224914008393798	0.982152865338987	0.982152865338987	-8.04472367378096
