"","p.Adjust","cor","kWithin","module"
"Zt09_chr_1_00996",0.0445856768406643,0.766128984150837,0.196806941709884,"ME1"
"Zt09_chr_2_01082",0.0494417187536127,0.755659077485273,0.0204637391633598,"ME1"
"Zt09_chr_3_00037",0.0224276149477731,-0.824712178330976,0.0100747992927825,"ME1"
"Zt09_chr_1_02046",0.010085940269239,0.874083678907986,0.00975095281882698,"ME1"
"Zt09_chr_5_00595",0.000165641312578725,-0.976203695035839,0.00639738688333747,"ME1"
"Zt09_chr_12_00031",0.0442338535642757,-0.76691137497596,0.00579346292968232,"ME1"
"Zt09_chr_6_00042",0.0453699038519323,-0.764397149251988,0.00566788251409259,"ME1"
"Zt09_chr_2_00102",0.0485996622818308,-0.757432766125195,0.00422830377684575,"ME1"
"Zt09_chr_12_00142",0.00742362838188167,-0.888981009124683,0.00357624687296097,"ME1"
"Zt09_chr_1_00526",0.0179490478444912,-0.840219159632437,0.00248947690236775,"ME1"
"Zt09_chr_12_00211",0.0282994353388732,0.806836806758254,0.00178120789309906,"ME1"
"Zt09_chr_7_00830",0.0477278667567211,-0.759286939534738,0.00143724637034108,"ME1"
"Zt09_chr_3_00278",0.00125900170421858,-0.946087062129533,0.00135669603814822,"ME1"
"Zt09_chr_1_00310",0.0236468042718224,-0.820801322094316,0.000291484125046063,"ME1"
"Zt09_chr_3_00715",0.0367978768492757,-0.784328085743665,0.000276872141216815,"ME1"
"Zt09_chr_8_00295",0.041949670857423,-0.772076528905553,0.0601259902953794,"ME10"
"Zt09_chr_8_00384",0.0436706281919115,-0.768171054280771,0.0341275047428469,"ME10"
"Zt09_chr_2_00935",0.026784042266078,-0.81123295410768,0.00371547813817489,"ME10"
"Zt09_chr_7_00576",0.0483900457009479,-0.757876911197612,0.189227931147234,"ME11"
"Zt09_chr_1_00139",0.0273245092208598,-0.80964942035041,0.173595243462319,"ME11"
"Zt09_chr_3_00442",0.0164612841805657,-0.845851289533987,0.0487960651746968,"ME11"
"Zt09_chr_12_00250",0.0273158289869474,-0.809674713232818,0.0404302513384784,"ME11"
"Zt09_chr_7_00249",0.0174893772930266,-0.841929962071372,0.0212589872326202,"ME11"
"Zt09_chr_5_00648",0.0466708131297819,0.761560235937751,0.0083768971270039,"ME11"
"Zt09_chr_10_00490",0.000975285345506896,-0.951377866496843,0.306691099391359,"ME13"
"Zt09_chr_19_00039",0.023235946365301,-0.822106258352919,0.0382678505123047,"ME13"
"Zt09_chr_1_00647",0.0137314829808686,-0.856995730164335,0.0310980292440293,"ME13"
"Zt09_chr_12_00141",0.0376487183963606,-0.782241986448273,0.0287081331855427,"ME13"
"Zt09_chr_5_00331",0.0416960998208034,-0.772659396424245,0.0261930418623162,"ME13"
"Zt09_chr_5_00101",0.027340751275753,-0.809602105584159,0.0136388779075799,"ME15"
"Zt09_chr_8_00746",0.01699139055869,-0.843812492004152,0.0161811345996976,"ME16"
"Zt09_chr_13_00147",0.0323996117639923,-0.795565499132123,0.335359576338072,"ME18"
"Zt09_chr_11_00373",0.0452413827059935,-0.764679831892759,0.249655431134218,"ME18"
"Zt09_chr_10_00051",0.0385736854756361,-0.780003598157877,0.189739589111475,"ME18"
"Zt09_chr_3_00177",0.0324655605471196,-0.795390925620216,0.15428529278365,"ME18"
"Zt09_chr_8_00592",0.0376857859493025,-0.782151701510619,0.0395513038980773,"ME18"
"Zt09_chr_7_00152",0.000421425476360766,-0.965346190496679,0.0387820272405916,"ME18"
"Zt09_chr_7_00150",0.0233083976822546,-0.821875203949522,0.0355747425079302,"ME18"
"Zt09_chr_12_00217",0.0126312000970753,-0.861845231570483,0.0270293896733366,"ME18"
"Zt09_chr_13_00203",0.0236555136027217,-0.820773799156279,0.0245720223733821,"ME18"
"Zt09_chr_1_01387",0.0104532132141627,-0.87221582633529,0.0223593058696267,"ME18"
"Zt09_chr_11_00518",0.00482157473015922,-0.906954923676693,0.0149410446503708,"ME18"
"Zt09_chr_8_00579",0.0124814497723739,-0.862523712196573,0.0112542101252884,"ME18"
"Zt09_chr_1_00649",0.0276398452667522,-0.808733618915122,0.00721179808980533,"ME18"
"Zt09_chr_2_00847",0.0297500992300137,0.802750475970037,0.0864456124441837,"ME2"
