"","p.Adjust","cor","kWithin","module"
"Zt09_chr_2_00808",0.030298254149823,-0.801235507162596,0.0484583989804983,"ME1"
"Zt09_chr_4_00085",0.0114481221066365,-0.867338215855383,0.0103976038290261,"ME1"
"Zt09_chr_11_00162",0.0350426365096149,-0.788717903197439,0.0014140068473047,"ME1"
"Zt09_chr_12_00002",0.0312247364584105,0.798709386979849,0.000152526126827224,"ME1"
"Zt09_chr_8_00549",0.0281602414218281,0.807235011529149,0.179583581073877,"ME10"
"Zt09_chr_11_00393",0.0276507625844369,-0.808702018041218,0.165449733893738,"ME10"
"Zt09_chr_2_01061",0.0492740982701927,0.756010822090741,0.0939681023424124,"ME10"
"Zt09_chr_4_00472",0.0311362466957926,-0.798948835195419,0.0499809460994853,"ME10"
"Zt09_chr_2_00901",0.0464114412683866,0.762122349566121,0.0396647180955327,"ME10"
"Zt09_chr_3_00560",0.0102409756343304,-0.873290512305186,0.0325423228669219,"ME10"
"Zt09_chr_5_00463",0.0315086071815597,0.797943797639532,0.0086595207171523,"ME10"
"Zt09_chr_7_00423",0.00864810756760094,-0.881800789203686,0.00693711805849957,"ME10"
"Zt09_chr_2_00935",0.0229034478801665,-0.823171879066148,0.00371547813817489,"ME10"
"Zt09_chr_19_00039",0.018222096529233,-0.839214698846155,0.0382678505123047,"ME13"
"Zt09_chr_19_00029",0.0384793361272773,-0.780230548025366,0.00906999974818836,"ME13"
"Zt09_chr_1_01105",0.00453785172320285,-0.909230629192718,0.00520734373368641,"ME13"
"Zt09_chr_2_01158",0.030481613214114,-0.800732173169852,0.0184456821506554,"ME14"
"Zt09_chr_5_00508",0.01422466404076,0.854894295608459,0.0140857955242083,"ME14"
"Zt09_chr_12_00028",0.00889991743427703,-0.88039852341879,0.216635187644754,"ME15"
"Zt09_chr_6_00466",0.0434074619446507,-0.768762706135104,0.206230323227924,"ME15"
"Zt09_chr_2_00566",0.0386905693341555,-0.77972286943047,0.151180256305847,"ME15"
"Zt09_chr_9_00548",0.0294108436281417,-0.803695935638624,0.109845504388454,"ME15"
"Zt09_chr_2_00421",0.0431580941486443,0.769325163368811,0.0425955833311,"ME15"
"Zt09_chr_6_00061",0.0371674826599572,-0.783418630401657,0.344110584283125,"ME16"
"Zt09_chr_10_00222",0.0349365159577832,-0.788987186885248,0.287438488832944,"ME16"
"Zt09_chr_10_00169",0.0018916112543237,-0.936418108827579,0.038684091341393,"ME16"
"Zt09_chr_5_00558",0.016398866075044,-0.846093797852326,0.0246026227907347,"ME16"
"Zt09_chr_1_00617",0.0358760550968969,0.786618667401509,0.0118353994028812,"ME2"
