"","p.Adjust","cor","kWithin","module"
"Zt09_chr_10_00030",0.00269720703275075,0.926564624085515,0.530741659232142,"ME1"
"Zt09_chr_4_00496",0.01260635871651,-0.861957461244727,0.102116750447439,"ME1"
"Zt09_chr_6_00086",0.0401215865762633,-0.776323273365102,0.0807546837073265,"ME1"
"Zt09_chr_1_00285",0.0442104177570736,0.766963613471903,0.0360987972265445,"ME1"
"Zt09_chr_1_01043",0.00276378240454131,-0.925832951446327,0.0275110774803366,"ME1"
"Zt09_chr_2_00994",0.042521147205772,0.770770003834251,0.0135160327446797,"ME1"
"Zt09_chr_4_00126",0.0235438421524046,-0.821127133855947,0.00774457741499702,"ME1"
"Zt09_chr_3_00462",0.0177670325124655,-0.840893570462461,0.00697867657371321,"ME1"
"Zt09_chr_1_00791",0.0361339538180091,0.7859745680836,0.00139948590855646,"ME1"
"Zt09_chr_19_00061",0.0172963781068441,-0.842655886960431,0.000588629850337359,"ME1"
"Zt09_chr_2_00944",0.019684644888658,-0.833974648384039,0.000275107230760843,"ME1"
"Zt09_chr_3_00236",0.030885673947607,0.799628940959003,0.000176496875874542,"ME1"
"Zt09_chr_1_00137",0.0180532567418796,0.839834789630821,0.476195302085078,"ME10"
"Zt09_chr_10_00373",0.00721081725358033,0.890297304586658,0.15302134296695,"ME10"
"Zt09_chr_11_00303",0.00863237258697777,0.88188919146442,0.0578050520346531,"ME10"
"Zt09_chr_2_00149",0.00708323210646504,0.891097270302223,0.0479312286676916,"ME10"
"Zt09_chr_9_00253",0.0216282558539228,0.827341890731637,0.0445862714996972,"ME10"
"Zt09_chr_6_00695",0.0230516867035534,0.822695718734919,0.0331094102656901,"ME10"
"Zt09_chr_3_00862",0.0492455747449107,0.756070742752366,0.0249735745545227,"ME10"
"Zt09_chr_4_00361",0.045236917563251,0.764689660923069,0.578189515110791,"ME11"
"Zt09_chr_2_00632",0.00639902161355128,0.895536912153316,0.445445945808084,"ME11"
"Zt09_chr_2_00570",0.0233061416864722,0.821882392424747,0.29287452641882,"ME11"
"Zt09_chr_5_00656",0.0375968631450042,0.782368372352178,0.101821333193698,"ME11"
"Zt09_chr_11_00417",0.0296289349698422,0.803087448186584,0.0929674748577034,"ME11"
"Zt09_chr_9_00512",0.015926565605281,-0.84794608750994,0.0824376862090508,"ME11"
"Zt09_chr_8_00640",0.0226580491604073,-0.823963968255222,0.036526825346875,"ME11"
"Zt09_chr_6_00655",0.0258512807536315,0.814008690115777,0.00715435871584767,"ME11"
"Zt09_chr_6_00355",0.0434470652488435,0.768673543637177,0.0055292687573728,"ME11"
"Zt09_chr_5_00816",0.000472062091265397,0.963724358582732,0.0816301740090335,"ME13"
"Zt09_chr_4_00057",0.0166113362216345,0.845270439053509,0.0722072825518615,"ME13"
"Zt09_chr_12_00391",0.0393801147458173,0.778076215943315,0.300718153411929,"ME14"
"Zt09_chr_8_00070",0.0432975647301645,0.769010362781213,0.260035178625586,"ME14"
"Zt09_chr_3_00911",0.0441168589561338,0.767172308483289,0.201524017434446,"ME14"
"Zt09_chr_10_00165",0.000992301787754747,0.951036648916355,0.191167799027476,"ME14"
"Zt09_chr_11_00486",0.0407366432666472,0.774882745060427,0.189427603167622,"ME14"
"Zt09_chr_7_00136",0.0246802084901208,0.81757459523404,0.17161399186623,"ME14"
"Zt09_chr_2_01016",0.00387539998455673,0.914889544937389,0.131292360818707,"ME14"
"Zt09_chr_3_00165",0.0297992989378396,0.802613865046665,0.0875273900308961,"ME14"
"Zt09_chr_3_01124",0.00699266333959704,0.891670221511615,0.0214221441571434,"ME14"
"Zt09_chr_1_01432",0.0342021488211848,0.790863264718936,0.0122745884751985,"ME14"
"Zt09_chr_11_00482",0.0277669866630402,0.808366033105666,0.00533708652139134,"ME14"
"Zt09_chr_9_00596",0.0301624487130069,0.801609402216339,0.727527106314646,"ME15"
"Zt09_chr_4_00432",0.0394790444666233,0.777841282466685,0.272146679366212,"ME15"
"Zt09_chr_9_00422",0.0230746671841558,0.822622057666481,0.254812679565668,"ME15"
"Zt09_chr_12_00016",0.0166736290509335,0.845030182052922,0.194636146796245,"ME15"
"Zt09_chr_1_02045",0.0200106165533809,0.832837143354334,0.189505821588536,"ME15"
"Zt09_chr_5_00591",0.0337008252813428,0.792156902256526,0.178189891807347,"ME15"
"Zt09_chr_4_00745",0.0456622590778513,0.763755749278654,0.074025048218963,"ME15"
"Zt09_chr_1_00666",0.0445220616190438,0.766270200383592,0.0640488666467351,"ME15"
"Zt09_chr_8_00506",0.0493345550122122,0.755883880668353,0.0525560244344218,"ME15"
"Zt09_chr_2_00666",0.0443422495864594,0.766669957919495,0.0473575191872206,"ME15"
"Zt09_chr_3_01090",0.0283371821903919,0.806729010271946,0.0466919409082382,"ME15"
"Zt09_chr_1_01661",0.0430073128807826,0.769666125052421,0.0401332701254964,"ME15"
"Zt09_chr_4_00382",0.0311496917633669,0.798912429138844,0.0315925958304121,"ME15"
"Zt09_chr_10_00354",0.0317360466787381,0.797333176863128,0.0285593782381942,"ME15"
"Zt09_chr_3_01099",0.00892814053622277,0.880242790936706,0.0273718544576703,"ME15"
"Zt09_chr_6_00687",0.0466049184309894,0.761702880710776,0.0257188950681617,"ME15"
"Zt09_chr_5_00446",0.0283955195139083,0.806562570285042,0.0736199075204858,"ME16"
"Zt09_chr_6_00448",0.0393897454674821,-0.778053331031237,0.0419534412840418,"ME16"
"Zt09_chr_8_00746",0.0242161336143211,-0.819014022711418,0.0161811345996976,"ME16"
"Zt09_chr_5_00425",0.00934117367343498,0.87799546893076,0.0430986253140489,"ME18"
"Zt09_chr_8_00278",0.00598363487370674,0.898368015661883,0.00565003289855156,"ME2"
"Zt09_chr_5_00505",0.00707919486498819,0.891122719767352,0.00176624554582799,"ME2"
"Zt09_chr_1_01455",0.0205841028877808,0.830861128750228,0.00071912490284783,"ME2"
"Zt09_chr_8_00018",0.014816810777152,0.852425482137764,0.0354127002182559,"ME21"
"Zt09_chr_1_00292",0.0400718373232451,-0.77644032365963,0.0100970989222505,"ME21"
"Zt09_chr_2_00631",0.0487834553619445,-0.757044200415393,0.155218308162735,"ME26"
"Zt09_chr_2_01069",0.0298548759992953,-0.802459698124444,0.00928981882208144,"ME26"
"Zt09_chr_9_00011",0.0325874755122989,-0.795068723779268,0.0907622248495572,"ME3"
"Zt09_chr_3_00769",0.0412979401018406,0.773578584474561,0.0857502486179765,"ME3"
"Zt09_chr_16_00103",0.046841478596314,0.761191303405348,0.0298978428004959,"ME3"
"Zt09_chr_9_00296",0.0495227192842236,0.755489335346734,0.0189770802922362,"ME3"
"Zt09_chr_8_00253",0.0322898434987532,0.795856507721476,0.0156929156478396,"ME3"
"Zt09_chr_9_00605",0.0219728508629375,0.826201626788598,0.013248833923944,"ME3"
"Zt09_chr_8_00559",0.0197992665865774,0.833573457564389,0.0116964580281903,"ME3"
"Zt09_chr_1_01555",0.0112655309950359,0.868214569924156,0.0101605886164142,"ME3"
"Zt09_chr_13_00306",0.0292881795061329,0.804039286163455,0.00970233359814317,"ME3"
"Zt09_chr_1_01273",0.0137034224497644,0.857116584237186,0.619101356850924,"ME5"
"Zt09_chr_9_00290",0.00995442113016941,0.874762058329324,0.432904418981778,"ME5"
"Zt09_chr_6_00134",0.0145070850797498,-0.853709628123311,0.318569496671894,"ME5"
"Zt09_chr_1_01033",0.0456921918150559,0.763690207264138,0.30317041224363,"ME5"
"Zt09_chr_1_01493",8.42683829233235e-05,0.981862496681146,0.288285938203993,"ME5"
"Zt09_chr_9_00065",0.0115960147915899,0.866634267020752,0.282630476617201,"ME5"
"Zt09_chr_3_00139",0.041183075823736,-0.773844668159645,0.222921330748786,"ME5"
"Zt09_chr_6_00121",0.0195501787851556,-0.834446989507408,0.196636199295157,"ME5"
"Zt09_chr_6_00189",0.0134921773416428,0.85803097846304,0.19468092686956,"ME5"
"Zt09_chr_4_00870",0.0313351713496206,0.798411087731468,0.192427807412188,"ME5"
"Zt09_chr_3_01062",0.0195048938600752,-0.83460647712268,0.123671569708021,"ME5"
"Zt09_chr_1_00317",0.0446157679315885,0.766062225094574,0.120547623846311,"ME5"
"Zt09_chr_1_00704",0.0214711421598745,0.827865189397987,0.115470558629139,"ME5"
"Zt09_chr_6_00188",0.00950741264454414,0.877107158765274,0.10780790752247,"ME5"
"Zt09_chr_2_01116",0.0137724800655715,0.856819413363308,0.100565333790633,"ME5"
"Zt09_chr_6_00627",0.0496248570475337,0.755275515318191,0.0840343670136823,"ME5"
"Zt09_chr_6_00195",0.0227468051775551,0.823676928161879,0.05111751268461,"ME5"
"Zt09_chr_3_01027",0.0458798928363256,-0.763279746142875,0.0456360670807874,"ME5"
"Zt09_chr_2_00786",0.0239071021174349,-0.819981191001798,0.0415683535814366,"ME5"
"Zt09_chr_1_01445",0.0344152715859957,0.79031651282686,0.0407870506862111,"ME5"
"Zt09_chr_9_00306",0.0483980943921475,0.757859837813763,0.0300600882399894,"ME5"
"Zt09_chr_13_00266",0.00514566755418901,0.904448946203006,0.0241330353190554,"ME5"
"Zt09_chr_7_00062",0.045618615701976,0.763851355051927,0.0187233150056936,"ME5"
"Zt09_chr_2_00081",0.0181525065046273,0.839469881956724,0.00980634914598935,"ME5"
"Zt09_chr_1_01908",0.00786038827835281,0.886346365407867,0.0090001922837986,"ME5"
"Zt09_chr_9_00381",0.0293184890948517,-0.803954371462295,0.440050948531408,"ME6"
"Zt09_chr_10_00073",0.00346625803103344,0.918672327770126,0.331498998936906,"ME6"
"Zt09_chr_1_01046",0.00877957633754163,-0.881065774569268,0.329769528595431,"ME6"
"Zt09_chr_7_00210",0.0154651903977799,0.849786025405149,0.272557843481404,"ME6"
"Zt09_chr_6_00326",0.0376543386515613,0.782228294098726,0.120892585087283,"ME6"
"Zt09_chr_2_00373",0.0435357135071802,0.768474124025756,0.105873212558552,"ME6"
"Zt09_chr_4_00108",0.00859410783092951,0.882104559604849,0.0433471336474269,"ME6"
"Zt09_chr_4_00376",0.0273327646290839,-0.809625369529956,0.0418719443783882,"ME6"
"Zt09_chr_5_00284",0.0128369927989197,0.860920317391348,0.0221858816420035,"ME6"
"Zt09_chr_2_00451",0.0359718242636019,0.786379185546053,0.0177341753722724,"ME6"
"Zt09_chr_10_00404",0.0271271547934703,-0.810225600084267,0.309264134950275,"ME8"
"Zt09_chr_4_00658",0.0115201027311382,0.866994949621366,0.069621932539763,"ME8"
"Zt09_chr_3_00822",0.0290212425327844,0.8047892661865,0.0353159173771196,"ME8"
"Zt09_chr_6_00651",0.00780774516818924,0.886659354381971,0.0328728707013831,"ME8"
"Zt09_chr_11_00067",0.0347922736352366,0.789353936228739,0.0273800331987393,"ME8"
