"","p.Adjust","cor","kWithin","module"
"Zt09_chr_2_00546",0.0143458085159403,-0.85438450083596,0.00832277300966941,"ME1"
"Zt09_chr_12_00142",0.0143564472256832,-0.854339849239855,0.00357624687296097,"ME1"
"Zt09_chr_10_00007",0.0310657133029606,-0.799139966985094,0.00124072317468381,"ME1"
"Zt09_chr_3_00955",0.0226517992348292,-0.823984204647259,0.00103032985439453,"ME1"
"Zt09_chr_10_00114",0.0136969516959088,-0.857144473255287,0.000545975499459057,"ME1"
"Zt09_chr_1_00776",0.0471943624866278,0.76043079827093,0.000417355698621693,"ME1"
"Zt09_chr_1_01859",0.0169929306219659,0.843806622060502,0.000356841100863465,"ME1"
"Zt09_chr_11_00523",0.022203045095485,-0.825445537264029,0.000267166978864789,"ME1"
"Zt09_chr_1_01134",0.0483142256038814,0.758037821987921,0.000182825313184593,"ME1"
"Zt09_chr_1_01955",0.028733362834221,0.805602430472655,0.47404016798918,"ME10"
"Zt09_chr_11_00393",0.0490750074408978,-0.756429458723941,0.165449733893738,"ME10"
"Zt09_chr_7_00429",0.00626087950614203,-0.896466260163833,0.151565799026074,"ME10"
"Zt09_chr_1_01973",0.0405737699200907,0.775263034409763,0.0905673321885381,"ME10"
"Zt09_chr_3_00760",0.00568559797218287,0.90047040586547,0.0498480195532571,"ME10"
"Zt09_chr_11_00033",0.00577953498601114,-0.89980099131589,0.0427242239580349,"ME10"
"Zt09_chr_3_00862",0.022030355437784,-0.826012330987278,0.0249735745545227,"ME10"
"Zt09_chr_3_00385",0.0326128248589016,-0.795001813979678,0.0187337761236814,"ME10"
"Zt09_chr_1_01541",0.023404921536646,-0.821568008554675,0.00790169956629389,"ME10"
"Zt09_chr_2_00935",0.0162770683868655,-0.846568528224427,0.00371547813817489,"ME10"
"Zt09_chr_2_00647",0.0444956837128539,0.766328787951313,0.457680988953183,"ME11"
"Zt09_chr_1_00200",0.0162341116441364,-0.846736443267836,0.130404372068916,"ME11"
"Zt09_chr_1_02051",0.0250759030820274,-0.816359259889798,0.0386499667009214,"ME11"
"Zt09_chr_4_00517",0.0205794816428699,-0.830876926291339,0.0669566463309557,"ME13"
"Zt09_chr_1_00380",0.0444891041535005,-0.766343404690431,0.0379418137022568,"ME13"
"Zt09_chr_1_01675",0.0015813855843354,-0.940872102283442,0.0147550319143852,"ME13"
