"ID"	"Module.Assignment"	"New.Module.Assignment"
"1"	"Zt09_chr_1_00002"	"grey"	"M0"
"2"	"Zt09_chr_1_00003"	"cyan"	"M14"
"3"	"Zt09_chr_1_00005"	"brown"	"M3"
"4"	"Zt09_chr_1_00006"	"lightcyan"	"M16"
"5"	"Zt09_chr_1_00008"	"cyan"	"M14"
"6"	"Zt09_chr_1_00009"	"darkgrey"	"M24"
"7"	"Zt09_chr_1_00010"	"grey"	"M0"
"8"	"Zt09_chr_1_00011"	"brown"	"M3"
"9"	"Zt09_chr_1_00012"	"red"	"M6"
"10"	"Zt09_chr_1_00013"	"brown"	"M3"
"11"	"Zt09_chr_1_00014"	"grey"	"M0"
"12"	"Zt09_chr_1_00015"	"brown"	"M3"
"13"	"Zt09_chr_1_00016"	"grey"	"M0"
"14"	"Zt09_chr_1_00019"	"green"	"M5"
"15"	"Zt09_chr_1_00020"	"cyan"	"M14"
"16"	"Zt09_chr_1_00021"	"brown"	"M3"
"17"	"Zt09_chr_1_00024"	"salmon"	"M13"
"18"	"Zt09_chr_1_00025"	"darkturquoise"	"M23"
"19"	"Zt09_chr_1_00026"	"brown"	"M3"
"20"	"Zt09_chr_1_00027"	"brown"	"M3"
"21"	"Zt09_chr_1_00028"	"greenyellow"	"M11"
"22"	"Zt09_chr_1_00029"	"brown"	"M3"
"23"	"Zt09_chr_1_00030"	"green"	"M5"
"24"	"Zt09_chr_1_00031"	"grey"	"M0"
"25"	"Zt09_chr_1_00032"	"pink"	"M8"
"26"	"Zt09_chr_1_00033"	"grey"	"M0"
"27"	"Zt09_chr_1_00034"	"darkgreen"	"M22"
"28"	"Zt09_chr_1_00035"	"grey"	"M0"
"29"	"Zt09_chr_1_00036"	"brown"	"M3"
"30"	"Zt09_chr_1_00037"	"green"	"M5"
"31"	"Zt09_chr_1_00039"	"brown"	"M3"
"32"	"Zt09_chr_1_00040"	"green"	"M5"
"33"	"Zt09_chr_1_00041"	"green"	"M5"
"34"	"Zt09_chr_1_00042"	"green"	"M5"
"35"	"Zt09_chr_1_00044"	"green"	"M5"
"36"	"Zt09_chr_1_00048"	"turquoise"	"M1"
"37"	"Zt09_chr_1_00052"	"brown"	"M3"
"38"	"Zt09_chr_1_00054"	"midnightblue"	"M15"
