"X","p.Adjust","cor","kWithin","module"
"Zt09_chr_13_00192","8.9e-03",-0.88,"1.0000","ME24"
"Zt09_chr_1_00716","1.7e-02",-0.85,"0.9636","ME24"
"Zt09_chr_5_00268","2.1e-02",-0.83,"0.8420","ME24"
"Zt09_chr_12_00192","2.0e-02",-0.83,"0.7309","ME24"
"Zt09_chr_12_00418","1.9e-02",-0.84,"0.7029","ME24"
"Zt09_chr_11_00209","3.4e-02",-0.79,"0.5990","ME24"
"Zt09_chr_4_00549","2.9e-02",-0.81,"0.5599","ME24"
"Zt09_chr_8_00589","1.3e-02",-0.86,"0.5104","ME24"
"Zt09_chr_11_00014","2.3e-02",-0.82,"0.4803","ME24"
"Zt09_chr_3_00753","9.1e-03",-0.88,"0.4682","ME24"
"Zt09_chr_8_00386","4.8e-02",-0.76,"0.3985","ME24"
"Zt09_chr_3_00503","2.5e-02",-0.82,"0.3790","ME24"
"Zt09_chr_12_00332","1.1e-02",-0.87,"0.3697","ME24"
"Zt09_chr_13_00275","3.8e-02",-0.78,"0.3616","ME24"
"Zt09_chr_1_00369","3.2e-02",-0.8,"0.2718","ME24"
"Zt09_chr_1_00009","8.0e-03",-0.89,"0.2663","ME24"
"Zt09_chr_10_00116","4.0e-02",-0.78,"0.2170","ME24"
"Zt09_chr_10_00133","3.0e-02",-0.8,"0.2133","ME24"
"Zt09_chr_13_00029","1.7e-02",-0.84,"0.2068","ME24"
"Zt09_chr_1_00715","4.0e-02",-0.78,"0.2022","ME24"
"Zt09_chr_2_00436","9.3e-03",-0.88,"0.1592","ME24"
"Zt09_chr_8_00067","4.4e-02",-0.77,"0.1511","ME24"
"Zt09_chr_3_00247","1.3e-02",-0.86,"0.1457","ME24"
"Zt09_chr_9_00131","4.7e-02",-0.76,"0.1353","ME24"
"Zt09_chr_1_00249","3.3e-02",-0.79,"0.1349","ME24"
"Zt09_chr_7_00129","1.6e-02",-0.85,"0.1295","ME24"
"Zt09_chr_7_00051","4.8e-02",-0.76,"0.1280","ME24"
"Zt09_chr_6_00110","3.1e-02",-0.8,"0.0931","ME24"
"Zt09_chr_4_00775","3.4e-02",-0.79,"0.0893","ME24"
"Zt09_chr_8_00696","3.5e-02",-0.79,"0.0840","ME24"
"Zt09_chr_1_01068","2.4e-02",-0.82,"0.0785","ME24"
"Zt09_chr_3_00137","2.5e-02",-0.82,"0.0654","ME24"
"Zt09_chr_1_01796","5.0e-02",-0.75,"0.0548","ME24"
"Zt09_chr_3_01076","7.7e-03",-0.89,"0.0491","ME24"
"Zt09_chr_3_01009","2.5e-02",-0.82,"0.0475","ME24"
"Zt09_chr_11_00133","9.5e-03",-0.88,"0.0375","ME24"
"Zt09_chr_5_00174","8.6e-03",-0.88,"0.0366","ME24"
"Zt09_chr_1_01751","3.0e-02",-0.8,"0.0355","ME24"
"Zt09_chr_13_00038","2.7e-02",-0.81,"0.0251","ME24"
"Zt09_chr_1_00590","4.3e-02",-0.77,"0.0240","ME24"
"Zt09_chr_11_00232","4.5e-02",-0.77,"0.0197","ME24"
"Zt09_chr_10_00429","1.8e-02",-0.84,"0.0191","ME24"
"Zt09_chr_3_00390","6.3e-03",-0.9,"0.0116","ME24"
"Zt09_chr_8_00663","4.6e-03",-0.91,"0.0095","ME24"
"Zt09_chr_10_00483","1.1e-02",-0.87,"0.0092","ME24"
"Zt09_chr_8_00347","2.4e-02",-0.82,"0.0083","ME24"
"Zt09_chr_10_00084","1.8e-02",-0.84,"0.0067","ME24"
