"X","p.Adjust","cor","kWithin","module"
"Zt09_chr_13_00192","1.3e-02",-0.86,"1.000","ME24"
"Zt09_chr_1_00716","2.0e-02",-0.83,"0.964","ME24"
"Zt09_chr_5_00268","2.2e-02",-0.83,"0.842","ME24"
"Zt09_chr_12_00192","3.1e-02",-0.8,"0.731","ME24"
"Zt09_chr_11_00209","1.2e-02",-0.86,"0.599","ME24"
"Zt09_chr_4_00247","4.8e-02",-0.76,"0.568","ME24"
"Zt09_chr_4_00549","1.9e-02",-0.84,"0.560","ME24"
"Zt09_chr_8_00589","4.9e-03",-0.91,"0.510","ME24"
"Zt09_chr_10_00149","2.4e-02",-0.82,"0.476","ME24"
"Zt09_chr_3_00753","3.8e-02",-0.78,"0.468","ME24"
"Zt09_chr_8_00386","1.6e-02",-0.85,"0.399","ME24"
"Zt09_chr_3_00503","2.2e-02",-0.83,"0.379","ME24"
"Zt09_chr_12_00332","1.6e-02",-0.85,"0.370","ME24"
"Zt09_chr_12_00241","1.6e-02",-0.85,"0.360","ME24"
"Zt09_chr_3_00504","4.3e-02",-0.77,"0.300","ME24"
"Zt09_chr_1_00009","1.0e-02",-0.87,"0.266","ME24"
"Zt09_chr_10_00133","2.2e-02",-0.82,"0.213","ME24"
"Zt09_chr_1_00715","2.7e-02",-0.81,"0.202","ME24"
"Zt09_chr_2_00436","3.9e-03",-0.91,"0.159","ME24"
"Zt09_chr_1_00367","3.7e-02",-0.78,"0.155","ME24"
"Zt09_chr_8_00067","4.4e-02",-0.77,"0.151","ME24"
"Zt09_chr_10_00074","1.7e-02",-0.84,"0.141","ME24"
"Zt09_chr_1_00249","4.2e-02",-0.77,"0.135","ME24"
"Zt09_chr_7_00051","3.1e-02",-0.8,"0.128","ME24"
"Zt09_chr_13_00067","1.6e-02",-0.85,"0.118","ME24"
"Zt09_chr_6_00110","4.8e-02",-0.76,"0.093","ME24"
"Zt09_chr_4_00775","2.6e-02",-0.81,"0.089","ME24"
"Zt09_chr_2_00071","5.9e-03",-0.9,"0.087","ME24"
"Zt09_chr_1_02048","1.6e-02",-0.85,"0.083","ME24"
"Zt09_chr_2_00151","3.5e-02",-0.79,"0.081","ME24"
"Zt09_chr_1_01068","2.7e-02",-0.81,"0.078","ME24"
"Zt09_chr_12_00202","3.3e-02",-0.79,"0.076","ME24"
"Zt09_chr_8_00050","3.5e-02",-0.79,"0.074","ME24"
"Zt09_chr_6_00610","4.6e-02",-0.76,"0.070","ME24"
"Zt09_chr_1_01796","9.5e-03",-0.88,"0.055","ME24"
"Zt09_chr_3_00689","1.8e-02",-0.84,"0.053","ME24"
"Zt09_chr_1_01069","4.1e-03",-0.91,"0.053","ME24"
"Zt09_chr_1_00153","8.6e-03",-0.88,"0.053","ME24"
"Zt09_chr_5_00174","2.2e-03",-0.93,"0.037","ME24"
"Zt09_chr_2_00101","2.1e-03",-0.93,"0.033","ME24"
"Zt09_chr_13_00038","1.8e-02",-0.84,"0.025","ME24"
"Zt09_chr_10_00429","2.1e-02",-0.83,"0.019","ME24"
"Zt09_chr_6_00282","3.3e-02",-0.79,"0.011","ME24"
