"X","p.Adjust","cor","kWithin","module"
"Zt09_chr_13_00192","1.3e-02",-0.86,"1.0000","ME24"
"Zt09_chr_1_00716","3.1e-02",-0.8,"0.9636","ME24"
"Zt09_chr_5_00268","3.6e-02",-0.79,"0.8420","ME24"
"Zt09_chr_12_00192","2.0e-02",-0.83,"0.7309","ME24"
"Zt09_chr_12_00418","2.8e-02",-0.81,"0.7029","ME24"
"Zt09_chr_4_00549","6.8e-03",-0.89,"0.5599","ME24"
"Zt09_chr_8_00589","2.4e-02",-0.82,"0.5104","ME24"
"Zt09_chr_10_00149","2.6e-02",-0.81,"0.4764","ME24"
"Zt09_chr_3_00753","1.5e-02",-0.85,"0.4682","ME24"
"Zt09_chr_8_00386","4.8e-02",-0.76,"0.3985","ME24"
"Zt09_chr_12_00332","9.0e-03",-0.88,"0.3697","ME24"
"Zt09_chr_12_00241","2.5e-02",-0.82,"0.3602","ME24"
"Zt09_chr_3_00504","4.8e-02",-0.76,"0.3002","ME24"
"Zt09_chr_1_00369","2.1e-02",-0.83,"0.2718","ME24"
"Zt09_chr_1_00009","2.6e-02",-0.81,"0.2663","ME24"
"Zt09_chr_10_00133","2.4e-02",-0.82,"0.2133","ME24"
"Zt09_chr_1_00715","3.4e-02",-0.79,"0.2022","ME24"
"Zt09_chr_9_00568","3.1e-02",-0.8,"0.1896","ME24"
"Zt09_chr_2_00436","2.7e-02",-0.81,"0.1592","ME24"
"Zt09_chr_8_00067","3.6e-02",-0.79,"0.1511","ME24"
"Zt09_chr_10_00074","2.9e-02",-0.8,"0.1407","ME24"
"Zt09_chr_9_00131","3.9e-02",-0.78,"0.1353","ME24"
"Zt09_chr_7_00129","1.5e-02",-0.85,"0.1295","ME24"
"Zt09_chr_7_00051","5.0e-02",-0.75,"0.1280","ME24"
"Zt09_chr_13_00067","3.3e-02",-0.79,"0.1176","ME24"
"Zt09_chr_12_00200","2.3e-02",-0.82,"0.1009","ME24"
"Zt09_chr_6_00110","6.2e-03",-0.9,"0.0931","ME24"
"Zt09_chr_1_01235","3.4e-02",-0.79,"0.0902","ME24"
"Zt09_chr_2_00071","3.6e-02",-0.79,"0.0867","ME24"
"Zt09_chr_1_02105","5.0e-02",-0.75,"0.0806","ME24"
"Zt09_chr_12_00202","1.2e-02",-0.87,"0.0759","ME24"
"Zt09_chr_3_00137","6.4e-03",-0.9,"0.0654","ME24"
"Zt09_chr_2_00791","1.2e-02",-0.86,"0.0607","ME24"
"Zt09_chr_3_00689","2.0e-02",-0.83,"0.0535","ME24"
"Zt09_chr_13_00179","4.9e-02",-0.76,"0.0441","ME24"
"Zt09_chr_11_00133","1.3e-02",-0.86,"0.0375","ME24"
"Zt09_chr_5_00174","4.3e-02",-0.77,"0.0366","ME24"
"Zt09_chr_1_01751","2.0e-03",-0.93,"0.0355","ME24"
"Zt09_chr_1_00177","3.6e-02",-0.79,"0.0161","ME24"
"Zt09_chr_9_00169","3.2e-02",-0.8,"0.0128","ME24"
"Zt09_chr_3_00390","6.0e-03",-0.9,"0.0116","ME24"
"Zt09_chr_10_00483","2.0e-02",-0.83,"0.0092","ME24"
"Zt09_chr_10_00084","3.7e-02",-0.78,"0.0067","ME24"
"Zt09_chr_9_00203","4.5e-02",-0.77,"0.0055","ME24"
