"","p.Adjust","cor","kWithin","module"
"Zt09_chr_11_00401",0.0208369454865401,-0.829999838166816,0.0580826047253619,"ME1"
"Zt09_chr_6_00156",0.0460996555573749,0.762800344570241,0.0432630616654295,"ME1"
"Zt09_chr_1_00376",0.0479776763309437,-0.758753747876183,0.0156253440701499,"ME1"
"Zt09_chr_1_00325",0.000116289211012298,-0.979357509912237,0.0045188444241924,"ME1"
"Zt09_chr_10_00537",0.0453111350590746,0.764526356650634,0.0036893589034735,"ME1"
"Zt09_chr_2_00129",0.0196323816261875,0.834158016290542,0.00258465529354508,"ME1"
"Zt09_chr_1_01010",0.0129315268665346,0.860498292110733,0.00016127133971478,"ME1"
"Zt09_chr_5_00448",0.0451861036092439,-0.764801554294226,0.477103815513474,"ME10"
"Zt09_chr_2_00564",0.0289520127382123,0.804984403065724,0.276568078353907,"ME10"
"Zt09_chr_12_00069",0.0407318027301243,0.774894034989983,0.113746532817925,"ME11"
"Zt09_chr_4_00567",0.0401787075499626,-0.776188977812317,0.0955484815640216,"ME11"
"Zt09_chr_2_01222",0.00618570504867962,-0.896977002398766,0.0580201079288355,"ME11"
"Zt09_chr_4_00752",0.0493003555978423,-0.755955678929704,0.0490948866012414,"ME11"
"Zt09_chr_4_00046",0.0337495079278507,-0.792030811510804,0.24943779851899,"ME13"
"Zt09_chr_11_00338",0.0161994207995069,-0.846872232390402,0.130057168262955,"ME13"
"Zt09_chr_3_00461",0.00565360080675516,-0.900699891076089,0.107478160204478,"ME13"
"Zt09_chr_3_00040",0.00693048668312727,-0.892066054122635,0.100393918122292,"ME13"
"Zt09_chr_3_00920",0.0463409485599008,-0.7622754202871,0.0734262246343573,"ME13"
"Zt09_chr_10_00039",0.0436071562600049,-0.768313572035346,0.0631398614455721,"ME13"
"Zt09_chr_4_00462",0.00788245009441438,-0.886215557785277,0.0423689925551424,"ME13"
"Zt09_chr_9_00087",0.0378720722659342,-0.78169871040918,0.0254903236628783,"ME13"
"Zt09_chr_8_00523",0.0475438437594093,-0.759680697063868,0.0214390626317972,"ME13"
"Zt09_chr_10_00427",0.0384724472740077,-0.780247130687852,0.0124789254245268,"ME13"
"Zt09_chr_1_00719",0.0160166169498832,-0.847590527896943,0.0121977386768675,"ME13"
"Zt09_chr_6_00242",0.0122963494629356,-0.863368837756817,0.0032121832777249,"ME13"
"Zt09_chr_10_00165",0.0437301487862093,-0.768037512397088,0.191167799027476,"ME14"
"Zt09_chr_6_00409",0.0351747669655684,-0.788383251929812,0.0070729165003786,"ME14"
"Zt09_chr_3_00293",0.0412179565278018,-0.773763823529464,0.457279006345244,"ME15"
"Zt09_chr_13_00082",0.0276296392647706,-0.808763167175418,0.163262163930608,"ME15"
"Zt09_chr_12_00440",0.0110866742512138,-0.869080950545031,0.0282127945165662,"ME15"
"Zt09_chr_5_00101",0.00139526724669921,-0.943796589813663,0.0136388779075799,"ME15"
"Zt09_chr_7_00515",0.00838714443589414,-0.883279139825723,0.00900551737991168,"ME15"
"Zt09_chr_10_00198",0.00343547942409505,-0.918967226792912,0.0228825419321381,"ME16"
"Zt09_chr_4_00565",0.0229454614153579,-0.823036750480997,0.0120735037801628,"ME18"
"Zt09_chr_1_01591",0.0309582172665451,-0.799431727384846,0.00917130707242594,"ME2"
"Zt09_chr_1_00494",0.0117773678657531,-0.865778053380703,0.00487619572055422,"ME2"
"Zt09_chr_7_00299",0.00140798050764664,-0.943589754447798,0.00063017398970597,"ME2"
"Zt09_chr_5_00255",0.00920430418359581,-0.87873370898779,0.000546879953824125,"ME2"
"Zt09_chr_1_01869",0.0170646114236866,-0.843533745392342,0.000448005128659382,"ME2"
"Zt09_chr_6_00153",0.0173639294788628,-0.842401285225148,0.122412096798035,"ME21"
"Zt09_chr_10_00089",0.0188247072805814,0.837027739434798,0.341157801522383,"ME22"
"Zt09_chr_12_00086",0.0353620423304611,0.787910128798243,0.124482014174831,"ME22"
"Zt09_chr_8_00473",0.020337736504271,0.831706141383213,0.0500924986915368,"ME22"
"Zt09_chr_2_00387",0.0447867394770444,0.76568338315482,0.471791215896493,"ME26"
"Zt09_chr_2_00116",0.0177249850144396,0.841049924529217,0.292720304123408,"ME26"
"Zt09_chr_2_01059",0.0286321964829561,0.805889275174279,0.049583635270695,"ME26"
