"","p.Adjust","cor","kWithin","module"
"Zt09_chr_10_00030",0.00456868256308495,-0.908979393239603,0.530741659232142,"ME1"
"Zt09_chr_7_00516",0.0185114380601275,-0.838159592061098,0.406325390870765,"ME1"
"Zt09_chr_2_01111",0.0468751972044079,-0.761118500292253,0.141068283238189,"ME1"
"Zt09_chr_4_00496",0.039000772836374,0.77898010060341,0.102116750447439,"ME1"
"Zt09_chr_7_00231",0.0176290456502523,-0.841407467568357,0.0519553682341443,"ME1"
"Zt09_chr_6_00156",0.0228283875252517,0.823413645290417,0.0432630616654295,"ME1"
"Zt09_chr_1_01043",0.0393632263059812,0.7781163544217,0.0275110774803366,"ME1"
"Zt09_chr_1_01037",0.0385557807612664,-0.780046642860535,0.0113741090507928,"ME1"
"Zt09_chr_12_00263",0.0257759745490969,-0.814235227585463,0.00970130967322923,"ME1"
"Zt09_chr_1_01266",0.0132514397263356,-0.859083082775345,0.00828883695360551,"ME1"
"Zt09_chr_2_00129",0.0265174367271753,0.81202070432768,0.00258465529354508,"ME1"
"Zt09_chr_7_00109",0.03281180929956,0.794477597575244,0.00244041688162639,"ME1"
"Zt09_chr_1_00420",0.0232797558038654,-0.821966497221305,0.00219273221924811,"ME1"
"Zt09_chr_1_00791",0.00179149233996678,-0.93780510168777,0.00139948590855646,"ME1"
"Zt09_chr_19_00061",0.0322163666386073,0.796051612074032,0.000588629850337359,"ME1"
"Zt09_chr_3_00552",0.0231193604675187,0.822478917395661,0.000505796451674612,"ME1"
"Zt09_chr_19_00013",0.0234121232131372,-0.821545117284502,0.000380379619048129,"ME1"
"Zt09_chr_2_00944",0.0485267235565904,0.757587192617666,0.000275107230760843,"ME1"
"Zt09_chr_3_00236",0.00635224887297844,-0.895850258866531,0.000176496875874542,"ME1"
"Zt09_chr_1_01010",0.0447254434030374,0.765819112449028,0.00016127133971478,"ME1"
"Zt09_chr_10_00046",0.0304351776350068,0.800859481742491,0.682473289798076,"ME10"
"Zt09_chr_1_00349",0.0216642511786744,0.827222304052527,0.389476230686771,"ME10"
"Zt09_chr_10_00373",0.00259577827820039,-0.927700000591645,0.15302134296695,"ME10"
"Zt09_chr_11_00303",0.0160896580382229,-0.847302968040973,0.0578050520346531,"ME10"
"Zt09_chr_2_00149",0.00572239204664712,-0.900207443248841,0.0479312286676916,"ME10"
"Zt09_chr_6_00695",0.0042754104004525,-0.911410745987976,0.0331094102656901,"ME10"
