"X","p.Adjust","cor","kWithin","module"
"Zt09_chr_1_00334","2.1e-02",-0.83,"0.7710","ME6"
"Zt09_chr_4_00017","2.8e-02",0.81,"0.7388","ME6"
"Zt09_chr_5_00390","3.5e-02",0.79,"0.5746","ME6"
"Zt09_chr_1_00547","7.3e-03",0.89,"0.3996","ME6"
"Zt09_chr_5_00806","4.9e-02",0.76,"0.3887","ME6"
"Zt09_chr_10_00073","2.2e-02",0.83,"0.3315","ME6"
"Zt09_chr_3_01095","1.8e-02",0.84,"0.3298","ME6"
"Zt09_chr_3_00712","2.8e-02",0.81,"0.3035","ME6"
"Zt09_chr_3_00256","3.8e-02",0.78,"0.2924","ME6"
"Zt09_chr_7_00360","1.8e-02",0.84,"0.2623","ME6"
"Zt09_chr_4_00592","2.0e-02",0.83,"0.2315","ME6"
"Zt09_chr_2_01165","2.1e-03",-0.93,"0.1368","ME6"
"Zt09_chr_5_00344","5.4e-03",0.9,"0.1041","ME6"
"Zt09_chr_3_00717","3.0e-02",0.8,"0.0735","ME6"
"Zt09_chr_4_00209","4.6e-02",0.76,"0.0521","ME6"
"Zt09_chr_3_00501","3.4e-02",-0.79,"0.0451","ME6"
"Zt09_chr_4_00376","1.9e-02",0.84,"0.0419","ME6"
"Zt09_chr_13_00264","3.7e-02",0.78,"0.0369","ME6"
"Zt09_chr_8_00134","3.3e-02",0.79,"0.0278","ME6"
"Zt09_chr_3_00928","3.6e-02",0.79,"0.0160","ME6"
"Zt09_chr_1_01492","1.5e-02",0.85,"0.0152","ME6"
"Zt09_chr_8_00572","3.9e-02",0.78,"0.0093","ME6"
"Zt09_chr_4_00165","1.7e-02",0.84,"0.0072","ME6"
"Zt09_chr_5_00728","2.2e-02",-0.83,"0.0064","ME6"
