"","p.Adjust","cor","kWithin","module"
"Zt09_chr_7_00845",0.0334802669502919,-0.79272943580466,0.207331385335187,"ME1"
"Zt09_chr_6_00086",0.0364903822098398,-0.785088581751725,0.0807546837073265,"ME1"
"Zt09_chr_7_00844",0.0257137709377521,-0.814422630498234,0.0759191765077614,"ME1"
"Zt09_chr_5_00797",0.0383945055875975,-0.780434864561252,0.0650756574574052,"ME1"
"Zt09_chr_11_00401",0.024423552671077,0.818368764437982,0.0580826047253619,"ME1"
"Zt09_chr_13_00364",0.0377196881727624,-0.782069169436405,0.0517653403137821,"ME1"
"Zt09_chr_7_00849",0.0426567014266055,-0.770461520052514,0.0419364330469492,"ME1"
"Zt09_chr_7_00076",0.0320870818242521,0.796395508062133,0.0363806556585946,"ME1"
"Zt09_chr_10_00071",0.0480040454886759,-0.758697554706775,0.033432421006084,"ME1"
"Zt09_chr_1_01575",0.0393036248921443,-0.778258084370241,0.0189051543108614,"ME1"
"Zt09_chr_1_00376",0.00296933927470424,0.923636973599033,0.0156253440701499,"ME1"
"Zt09_chr_1_00801",0.0241728198763866,0.819149159750413,0.0101905405410576,"ME1"
"Zt09_chr_3_00328",0.00329246611039175,0.920358176203595,0.00511393621151669,"ME1"
"Zt09_chr_1_00325",0.00142230565911405,0.943358010511064,0.0045188444241924,"ME1"
"Zt09_chr_3_00466",0.00944503289273756,-0.877439431619879,0.00369765428814528,"ME1"
"Zt09_chr_10_00537",0.0250783653422468,-0.816351731243223,0.0036893589034735,"ME1"
"Zt09_chr_2_00129",0.00797973245379652,-0.885641268136657,0.00258465529354508,"ME1"
"Zt09_chr_10_00007",0.0127960395807824,-0.861103696339518,0.00124072317468381,"ME1"
"Zt09_chr_6_00035",0.00710477372638359,0.890961620766476,0.00107696125600441,"ME1"
"Zt09_chr_19_00013",0.0289560388218185,0.804973047655791,0.000380379619048129,"ME1"
"Zt09_chr_1_01010",0.0128816461817433,-0.860720751639132,0.00016127133971478,"ME1"
"Zt09_chr_5_00448",0.0443419761612306,0.766670566476605,0.477103815513474,"ME10"
"Zt09_chr_4_00119",0.024495148845554,0.818146753709517,0.197234429973256,"ME10"
"Zt09_chr_1_00836",0.0380199743389884,0.781339937169096,0.0161114607355203,"ME10"
"Zt09_chr_2_00647",0.0395473404261131,-0.777679286632893,0.457680988953183,"ME11"
"Zt09_chr_13_00368",0.044693664003512,-0.76588952260284,0.122334161676807,"ME11"
"Zt09_chr_12_00069",0.00278586957976675,-0.925592497275631,0.113746532817925,"ME11"
"Zt09_chr_2_01222",0.00976600065518316,0.875742996101097,0.0580201079288355,"ME11"
"Zt09_chr_4_00752",0.0124518035552179,0.862658584276511,0.0490948866012414,"ME11"
"Zt09_chr_6_00031",0.0220395482731667,0.82598209555678,0.714513374013737,"ME13"
"Zt09_chr_11_00103",0.0154390154583107,0.84989134251747,0.585774225063751,"ME13"
"Zt09_chr_5_00012",0.00242671800792186,0.929651828751597,0.350703220859218,"ME13"
"Zt09_chr_4_00046",0.0384105190116558,0.780396276677488,0.24943779851899,"ME13"
"Zt09_chr_4_00613",0.0318745349566909,0.796962565210266,0.197704950181432,"ME13"
"Zt09_chr_5_00819",0.0263629676323291,0.812479157961753,0.191838887537689,"ME13"
