"kWithin"	"Module"
"Zt09_chr_4_00622"	1	"M1"
"Zt09_chr_8_00412"	0.989196857131556	"M1"
"Zt09_chr_1_01278"	0.980958909986639	"M1"
"Zt09_chr_2_00140"	0.949827502174681	"M1"
"Zt09_chr_7_00236"	0.94413472669899	"M1"
"Zt09_chr_11_00030"	0.937037639702878	"M1"
"Zt09_chr_7_00116"	0.915711873726011	"M1"
"Zt09_chr_4_00530"	0.904946190208338	"M1"
"Zt09_chr_5_00088"	0.898726111341147	"M1"
"Zt09_chr_13_00229"	0.873458864505657	"M1"
"Zt09_chr_1_01639"	0.870559844356734	"M1"
"Zt09_chr_7_00581"	0.866841324552335	"M1"
"Zt09_chr_1_01279"	0.857884953833806	"M1"
"Zt09_chr_9_00572"	0.841784360523186	"M1"
"Zt09_chr_7_00014"	0.83863028844426	"M1"
"Zt09_chr_5_00768"	0.834822288939905	"M1"
"Zt09_chr_2_00142"	0.831278397691606	"M1"
"Zt09_chr_2_00006"	0.822735519914047	"M1"
"Zt09_chr_1_00693"	0.819532686329165	"M1"
"Zt09_chr_6_00224"	0.813116020890436	"M1"
"Zt09_chr_1_01839"	0.810757409505149	"M1"
"Zt09_chr_5_00271"	0.796722090611837	"M1"
"Zt09_chr_12_00097"	0.794642935129984	"M1"
"Zt09_chr_2_00126"	0.781626278218785	"M1"
"Zt09_chr_5_00818"	0.779095735066935	"M1"
"Zt09_chr_13_00042"	0.776315492791455	"M1"
"Zt09_chr_8_00723"	0.764377885546621	"M1"
"Zt09_chr_5_00190"	0.762056227505884	"M1"
"Zt09_chr_3_00290"	0.760548044623667	"M1"
"Zt09_chr_6_00705"	0.758361533468694	"M1"
"Zt09_chr_12_00196"	0.738532571988305	"M1"
"Zt09_chr_13_00008"	0.725685655629817	"M1"
"Zt09_chr_3_00042"	0.725555701926836	"M1"
"Zt09_chr_3_00997"	0.723570838019563	"M1"
"Zt09_chr_12_00193"	0.723173234572806	"M1"
"Zt09_chr_1_00867"	0.712481362918021	"M1"
"Zt09_chr_5_00634"	0.705216611737037	"M1"
"Zt09_chr_3_00200"	0.691279107520369	"M1"
"Zt09_chr_11_00155"	0.685210464760106	"M1"
"Zt09_chr_13_00204"	0.684502700193856	"M1"
"Zt09_chr_1_01972"	0.673527383649291	"M1"
"Zt09_chr_5_00334"	0.671831433147256	"M1"
"Zt09_chr_5_00180"	0.664110980486092	"M1"
