"X","p.Adjust","cor","kWithin","module"
"Zt09_chr_4_00046","3.4e-02",-0.79,"0.2494","ME13"
"Zt09_chr_11_00338","1.6e-02",-0.85,"0.1301","ME13"
"Zt09_chr_3_00461","5.7e-03",-0.9,"0.1075","ME13"
"Zt09_chr_3_00040","6.9e-03",-0.89,"0.1004","ME13"
"Zt09_chr_3_00920","4.6e-02",-0.76,"0.0734","ME13"
"Zt09_chr_10_00039","4.4e-02",-0.77,"0.0631","ME13"
"Zt09_chr_4_00462","7.9e-03",-0.89,"0.0424","ME13"
"Zt09_chr_9_00087","3.8e-02",-0.78,"0.0255","ME13"
"Zt09_chr_8_00523","4.8e-02",-0.76,"0.0214","ME13"
"Zt09_chr_10_00427","3.8e-02",-0.78,"0.0125","ME13"
"Zt09_chr_1_00719","1.6e-02",-0.85,"0.0122","ME13"
"Zt09_chr_6_00242","1.2e-02",-0.86,"0.0032","ME13"
