"","p.Adjust","cor","kWithin","module"
"Zt09_chr_1_00293",0.013166844683498,0.859455387897322,0.477783146919484,"ME1"
"Zt09_chr_6_00417",0.0171441953604053,-0.843231546080328,0.316576362108109,"ME1"
"Zt09_chr_3_00138",0.0402570836477217,-0.776004881660486,0.167771574793483,"ME1"
"Zt09_chr_13_00317",0.0311739609179905,-0.798846736242213,0.160698885870713,"ME1"
"Zt09_chr_1_00786",0.0409489913566958,0.774388198245198,0.0769844221884076,"ME1"
"Zt09_chr_12_00360",0.0424858368716503,0.770850449395597,0.0460826633913255,"ME1"
"Zt09_chr_5_00553",0.00893627721240877,-0.88019794629192,0.0402573273637634,"ME1"
"Zt09_chr_1_01358",0.0114276660355273,0.867435994316602,0.0305566376376743,"ME1"
"Zt09_chr_2_01082",0.0184700522620809,0.838309931598379,0.0204637391633598,"ME1"
"Zt09_chr_8_00736",0.0171319716063121,0.843277910629422,0.0183788699117987,"ME1"
"Zt09_chr_1_02085",0.0433367685396147,-0.768921976114725,0.0107109788647287,"ME1"
"Zt09_chr_3_00979",0.0286811223577763,0.805750481093787,0.00949572208980146,"ME1"
"Zt09_chr_1_00925",0.0186394353637534,0.837695829032653,0.00941641270064202,"ME1"
"Zt09_chr_2_00599",0.0345575376115942,0.789952587400728,0.00801497853190123,"ME1"
"Zt09_chr_1_01746",0.00234788786759524,-0.930589262579382,0.00745757713130999,"ME1"
"Zt09_chr_5_00225",0.0109404932163809,0.869795035884171,0.00571080435468207,"ME1"
"Zt09_chr_13_00095",0.0428275989792825,-0.770073374292736,0.00288877592940951,"ME1"
"Zt09_chr_1_01379",0.00887113868144889,-0.880557615766681,0.00287486542545926,"ME1"
"Zt09_chr_1_00992",0.00426087877596826,-0.911533714528335,0.00285505559191584,"ME1"
"Zt09_chr_1_00426",0.0391274343563862,0.778677756102018,0.00153005319757006,"ME1"
"Zt09_chr_3_00606",0.00802868200130605,0.88535383379881,0.00140223454719542,"ME1"
"Zt09_chr_3_00278",0.0123125677201833,-0.863294498495859,0.00135669603814822,"ME1"
"Zt09_chr_5_00405",0.0404714874807051,0.775502282970638,0.000712076096122687,"ME1"
"Zt09_chr_12_00002",0.0282412736853126,0.807003061241248,0.000152526126827224,"ME1"
"Zt09_chr_2_01025",0.02387926882564,0.82006864529726,0.574258421486719,"ME10"
"Zt09_chr_2_00345",0.0251389969426885,0.816166474205174,0.551192728718944,"ME10"
"Zt09_chr_3_00500",0.0474433309873164,-0.759896119420576,0.410877267376483,"ME10"
"Zt09_chr_2_00607",0.0279057369588314,-0.807965960137575,0.0938964572428033,"ME10"
"Zt09_chr_8_00295",0.0300315696168329,-0.801970626432479,0.0601259902953794,"ME10"
"Zt09_chr_9_00455",0.041253708611569,0.773680998478942,0.0268021526370682,"ME10"
"Zt09_chr_13_00048",0.0387610569730289,0.779553801043066,0.0103881858949341,"ME10"
"Zt09_chr_5_00463",0.0459327753719476,0.763164270359115,0.0086595207171523,"ME10"
"Zt09_chr_1_00559",0.0255003544025676,-0.815067543449364,0.532014830297912,"ME11"
"Zt09_chr_6_00699",0.0132395568229803,-0.859135297424437,0.414862128096292,"ME11"
"Zt09_chr_3_00839",0.0414341717363995,-0.773263532650303,0.245522392934799,"ME11"
"Zt09_chr_2_00381",0.0107836840686835,-0.870567164904337,0.204629891551166,"ME11"
"Zt09_chr_10_00367",0.0397714409662595,-0.777148812157844,0.141718261774097,"ME11"
"Zt09_chr_1_00200",0.00853559377453214,-0.882434972107376,0.130404372068916,"ME11"
"Zt09_chr_1_01850",0.0256799585216345,-0.814524605294832,0.082586424290887,"ME11"
"Zt09_chr_3_00965",0.00729896165070662,-0.889749413541295,0.0782298499639466,"ME11"
"Zt09_chr_1_00483",0.00529224089957789,-0.903345790857005,0.0483134922864718,"ME11"
"Zt09_chr_9_00490",0.0344198191209978,-0.790304867004755,0.0170102870518926,"ME11"
"Zt09_chr_1_00576",0.0330648313028483,0.793813575384575,0.162266720682062,"ME13"
"Zt09_chr_19_00039",0.00248681710894793,-0.928949090834743,0.0382678505123047,"ME13"
"Zt09_chr_3_00951",0.0422985178351691,-0.771277826124937,0.0280120505453697,"ME13"
"Zt09_chr_3_00387",0.00975997606869725,-0.875774539921098,0.0173908485582572,"ME13"
"Zt09_chr_2_00007",0.0241459251652986,-0.819233138808004,0.0158564168407837,"ME13"
"Zt09_chr_2_01083",0.0424267672280732,-0.770985106979348,0.0151659313758045,"ME13"
"Zt09_chr_9_00538",0.0422563435573715,-0.77137419258211,0.00798141947990667,"ME13"
"Zt09_chr_6_00242",0.0326796478384961,-0.794825573110329,0.0032121832777249,"ME13"
"Zt09_chr_7_00287",0.0424539948481087,-0.770923024936311,0.050441391169826,"ME14"
"Zt09_chr_1_00437",0.048411611598211,-0.757831167779147,0.0500594549507674,"ME14"
"Zt09_chr_1_01763",0.041952917526937,0.772069078624354,0.386406883417722,"ME15"
"Zt09_chr_1_01798",0.035503713799738,0.787553142019369,0.370509302440811,"ME15"
"Zt09_chr_10_00243",0.0163824982206159,0.846157477641691,0.298049776647928,"ME15"
"Zt09_chr_1_00610",0.0391959251066642,0.778514492555748,0.288653892093969,"ME15"
"Zt09_chr_10_00146",0.0168901027986706,0.844199216941031,0.221476175063027,"ME15"
"Zt09_chr_8_00220",0.0288850248091412,-0.805173469849186,0.184177604438286,"ME15"
"Zt09_chr_1_00873",0.0227795783046188,0.823571098627155,0.171501143548534,"ME15"
"Zt09_chr_11_00161",0.0021105660866403,0.93352853091763,0.143006223504421,"ME15"
"Zt09_chr_1_01510",0.0393270509108143,0.77820236398479,0.131523530690965,"ME15"
"Zt09_chr_1_00618",0.0469750925946914,0.760902981071378,0.0835868037572612,"ME15"
"Zt09_chr_3_00950",0.0492289708181385,-0.756105632129914,0.0804452681229762,"ME15"
"Zt09_chr_9_00424",0.0379548138215721,0.781497904662682,0.0717565228336804,"ME15"
"Zt09_chr_5_00365",0.0181754817771059,-0.839385571413637,0.0708996945443029,"ME15"
"Zt09_chr_1_00770",0.0299784877724958,0.802117382500917,0.0629763269729204,"ME15"
"Zt09_chr_2_00421",0.0395268046735561,0.777727980490475,0.0425955833311,"ME15"
"Zt09_chr_1_02092",0.0344667036606177,-0.790184849878439,0.0379566059693217,"ME15"
"Zt09_chr_13_00011",0.0395619040579619,0.777644762198382,0.0370815235049432,"ME15"
"Zt09_chr_6_00101",0.027565260809356,-0.808949696024628,0.0287869439157927,"ME15"
"Zt09_chr_6_00269",0.026458511415796,-0.812195413078457,0.0278002518562177,"ME15"
"Zt09_chr_1_01737",0.0145457754445052,0.853548364222239,0.0207294280152033,"ME15"
"Zt09_chr_2_00693",0.012298540318497,-0.863358792297172,0.01479260462508,"ME15"
"Zt09_chr_5_00666",0.0325553628653578,0.795153527064189,0.0125766772473212,"ME15"
"Zt09_chr_5_00750",0.0258923523644497,0.81388529415394,0.0660627016408424,"ME16"
"Zt09_chr_9_00068",0.0174313853028458,0.842147605363601,0.0564137723940843,"ME16"
"Zt09_chr_4_00025",0.0401713054309131,-0.776206374772797,0.136842990855681,"ME18"
"Zt09_chr_1_02089",0.043788273800623,-0.767907198295202,0.110836875421556,"ME18"
"Zt09_chr_12_00217",0.0452055935501888,0.764758628863743,0.0270293896733366,"ME18"
"Zt09_chr_1_01901",0.0153025864545732,-0.850441933001536,0.0255061042803271,"ME18"
"Zt09_chr_3_00422",0.0175704775479757,-0.841626281106328,0.0202668358454944,"ME18"
"Zt09_chr_1_02050",0.0146037073764492,-0.853307357881953,0.00916483832559675,"ME18"
"Zt09_chr_10_00261",0.04638384112899,0.762182266398187,0.0135592698363146,"ME2"
"Zt09_chr_9_00025",0.0350324552009597,0.788743718844735,0.00802667533815307,"ME2"
"Zt09_chr_2_00604",0.0200427899271499,0.832725443015533,0.00669224900017806,"ME2"
"Zt09_chr_5_00184",0.0416105954190327,0.772856381013699,0.00545202615400755,"ME2"
"Zt09_chr_7_00299",0.0122728986517127,-0.863476428239922,0.00063017398970597,"ME2"
"Zt09_chr_5_00255",0.0370308047722877,-0.783754353780005,0.000546879953824125,"ME2"
"Zt09_chr_2_00113",0.0487948511948791,0.75702013438392,0.000491605361839523,"ME2"
"Zt09_chr_5_00828",0.0296375435716744,0.803063481214709,0.000370589092287889,"ME2"
"Zt09_chr_8_00442",0.0120141275833453,0.864671565331094,0.000252442103034362,"ME2"
"Zt09_chr_3_00554",0.0310344841183479,0.799224669460664,0.000127157415651488,"ME2"
"Zt09_chr_12_00240",0.049678431644566,0.755163456085194,0.0187380136492259,"ME23"
"Zt09_chr_1_00767",0.042312185393819,0.771246607703339,0.0177077411193152,"ME23"
"Zt09_chr_13_00192",0.0129789579926245,-0.860287212804747,1,"ME24"
"Zt09_chr_1_00716",0.0201630936137654,-0.832308667572221,0.963550819614183,"ME24"
"Zt09_chr_5_00268",0.0219518445361984,-0.826270846056981,0.841979602688237,"ME24"
"Zt09_chr_12_00192",0.031255725657562,-0.7986256216412,0.730869160243633,"ME24"
"Zt09_chr_11_00209",0.011997733078555,-0.864747778932823,0.599036045709265,"ME24"
"Zt09_chr_4_00247",0.0478877617776217,-0.758945484968063,0.567771281679482,"ME24"
"Zt09_chr_4_00549",0.0190032528194804,-0.836387428382832,0.559899553788708,"ME24"
"Zt09_chr_8_00589",0.00487589207100631,-0.906528226689872,0.510445093501875,"ME24"
"Zt09_chr_10_00149",0.0239390767130646,-0.819880795242586,0.476428639910964,"ME24"
"Zt09_chr_3_00753",0.0381965441999807,-0.780912634874559,0.468175910330654,"ME24"
"Zt09_chr_8_00386",0.0160630017892839,-0.847407826221201,0.398546369131056,"ME24"
"Zt09_chr_3_00503",0.0219785787395935,-0.826182758993163,0.379049775749934,"ME24"
"Zt09_chr_12_00332",0.0164186449915235,-0.846016895495745,0.369731333174807,"ME24"
"Zt09_chr_12_00241",0.0158338031700063,-0.848313552333787,0.360222654713229,"ME24"
"Zt09_chr_3_00504",0.0429214766225191,-0.769860521073752,0.300204501160524,"ME24"
"Zt09_chr_1_00009",0.0102526435602143,-0.87323109936803,0.26628297019327,"ME24"
"Zt09_chr_10_00133",0.0224238530122432,-0.824724429115449,0.21334653196166,"ME24"
"Zt09_chr_1_00715",0.0270173952952702,-0.810547063747868,0.202152620725147,"ME24"
"Zt09_chr_2_00436",0.00386509940576667,-0.91498183616013,0.159174678056984,"ME24"
"Zt09_chr_1_00367",0.0374163097006272,-0.782809188225786,0.154636583656888,"ME24"
"Zt09_chr_8_00067",0.0444986895301866,-0.766322110810802,0.151120525594495,"ME24"
"Zt09_chr_10_00074",0.0173567266061088,-0.842428406044027,0.140680121858857,"ME24"
"Zt09_chr_1_00249",0.0418293150328072,-0.772352939888887,0.134881995532388,"ME24"
"Zt09_chr_7_00051",0.0311485269792731,-0.798915582750686,0.127978817594944,"ME24"
"Zt09_chr_13_00067",0.0164933159006594,-0.845727042527628,0.117621988271965,"ME24"
"Zt09_chr_6_00110",0.048265108302158,-0.758142136134324,0.0930734369126982,"ME24"
"Zt09_chr_4_00775",0.0255523408440645,-0.814910169278276,0.0892770722188581,"ME24"
"Zt09_chr_2_00071",0.00591416209067345,-0.898852546036448,0.0866650061259656,"ME24"
"Zt09_chr_1_02048",0.0161625879838889,-0.847016587289369,0.0828400832958892,"ME24"
"Zt09_chr_2_00151",0.034963143983837,-0.788919574853978,0.0811062959508081,"ME24"
"Zt09_chr_1_01068",0.0270375891746021,-0.810487864929011,0.0784523435977799,"ME24"
"Zt09_chr_12_00202",0.0332279105963079,-0.793387096088527,0.0759190493834374,"ME24"
"Zt09_chr_8_00050",0.0348419540740579,-0.789227523811791,0.0735933752146924,"ME24"
"Zt09_chr_6_00610",0.0456601314558683,-0.763760408910895,0.0696034979661159,"ME24"
"Zt09_chr_1_01796",0.0095438675489553,-0.876913559242196,0.0547904399478087,"ME24"
"Zt09_chr_3_00689",0.0182013182138279,-0.839290833800046,0.0534617044303905,"ME24"
"Zt09_chr_1_01069",0.00405673881730636,-0.913287703843961,0.0532401027710283,"ME24"
"Zt09_chr_1_00153",0.00857576927783411,-0.882207972082839,0.053013406607264,"ME24"
"Zt09_chr_5_00174",0.00220886127498645,-0.932288699570597,0.0366496205462634,"ME24"
"Zt09_chr_2_00101",0.00210382884898278,-0.933614741834207,0.0327684400028801,"ME24"
"Zt09_chr_13_00038",0.0180968076547404,-0.839674527683703,0.0251209109479628,"ME24"
"Zt09_chr_10_00429",0.0209543566899127,-0.829601896977251,0.0191185718833233,"ME24"
"Zt09_chr_6_00282",0.0333351581880212,-0.793107261570306,0.0114205014315831,"ME24"
"Zt09_chr_2_00694",0.0208550698145957,-0.829938326770978,1,"ME26"
"Zt09_chr_10_00428",0.0390127594980151,-0.778951464842098,0.750293628622803,"ME26"
"Zt09_chr_1_01625",0.0127952340733187,-0.861107306584375,0.398643338239084,"ME26"
"Zt09_chr_10_00244",0.0439112551566177,-0.767631792505631,0.390316382828935,"ME26"
"Zt09_chr_1_00341",0.0326678096203915,-0.794856780909801,0.33149133685134,"ME26"
