"","p.Adjust","cor","kWithin","module"
"Zt09_chr_1_00884",0.0180261355854729,0.839934703172945,0.0716185404139094,"ME1"
"Zt09_chr_13_00099",0.0463228443418276,0.762314753165866,0.0668196220507846,"ME1"
"Zt09_chr_8_00298",0.0294390988488804,0.803616959816699,0.0617876433665618,"ME1"
"Zt09_chr_13_00358",0.00683800942195547,0.892658615012798,0.0617502499700617,"ME1"
"Zt09_chr_1_01429",0.0490908921643432,0.756396023126966,0.0566420141019075,"ME1"
"Zt09_chr_5_00561",0.0255469420710029,0.814926504141168,0.053116878757374,"ME1"
"Zt09_chr_5_00696",0.0101569192362753,0.873719682913732,0.0424196649612512,"ME1"
"Zt09_chr_10_00185",0.0379133637363204,0.781598469633519,0.0400963465436611,"ME1"
"Zt09_chr_9_00480",0.00947138452994794,0.877298912725694,0.028003944374873,"ME1"
"Zt09_chr_3_00133",0.0469720844164782,0.760909467385212,0.0271047847818771,"ME1"
"Zt09_chr_1_01525",0.0183947276108058,0.838584050517508,0.02504777473191,"ME1"
"Zt09_chr_4_00188",0.0251806040046452,0.816039491242258,0.0229235973662774,"ME1"
"Zt09_chr_2_00536",0.0357869329575098,0.786841846946451,0.021999197835216,"ME1"
"Zt09_chr_7_00553",0.012233334809773,0.86365821169134,0.0199513053469955,"ME1"
"Zt09_chr_4_00574",0.0431278974496275,0.769393394503243,0.0170828329342848,"ME1"
"Zt09_chr_7_00575",0.0109436314715593,0.869779648270653,0.0146441920814923,"ME1"
"Zt09_chr_1_01838",0.00105081238461548,0.949889085574738,0.0126555177747683,"ME1"
"Zt09_chr_1_02085",0.00677086774122336,0.893091751832041,0.0107109788647287,"ME1"
"Zt09_chr_3_00482",0.0363731930274715,0.785379350384388,0.0101439886495936,"ME1"
"Zt09_chr_5_00580",0.0143028137388164,0.854565146783024,0.00990603449296581,"ME1"
"Zt09_chr_2_00517",0.0359714607324374,0.786380093927358,0.00845307315783519,"ME1"
"Zt09_chr_2_01209",0.00365137225174728,0.91693018706403,0.00799302275525462,"ME1"
"Zt09_chr_1_01940",0.0305865319262074,0.800444925033375,0.00794075511288082,"ME1"
"Zt09_chr_5_00697",0.0424340054761024,0.770968600813161,0.0072198056901892,"ME1"
"Zt09_chr_1_01663",0.0474441160701072,0.759894435834557,0.00605699209921051,"ME1"
"Zt09_chr_4_00836",0.0331946534673306,0.793473974100053,0.0055332389267267,"ME1"
"Zt09_chr_1_00325",0.0339833724497646,0.79142649729845,0.0045188444241924,"ME1"
"Zt09_chr_3_00593",0.0456121853705813,0.763865445674177,0.00422115266961758,"ME1"
"Zt09_chr_7_00194",0.00295350987946863,0.923802850487586,0.00393883282390666,"ME1"
"Zt09_chr_9_00269",0.00610802045155722,0.897508600059191,0.00376947824212887,"ME1"
"Zt09_chr_1_01990",0.0426086963006407,0.770570704463232,0.00364650166751769,"ME1"
"Zt09_chr_12_00254",0.040857296889858,0.774601575219331,0.00227085690028108,"ME1"
"Zt09_chr_3_01089",0.0223206658237712,0.825060913122357,0.00164136625153257,"ME1"
"Zt09_chr_1_00426",0.0405159256664388,-0.775398296715113,0.00153005319757006,"ME1"
"Zt09_chr_13_00100",0.00501449894574553,0.905451779634329,0.00133176679399227,"ME1"
"Zt09_chr_1_00665",0.0325802510503573,0.795087798119362,0.00130427279160859,"ME1"
"Zt09_chr_7_00246",0.000599835912026581,0.960044608125761,0.00110112439514022,"ME1"
"Zt09_chr_6_00196",0.0244499621161444,0.818286829443585,0.00107685588868871,"ME1"
"Zt09_chr_8_00158",0.00233211847580818,0.930778998760978,0.000901110742783596,"ME1"
