"","p.Adjust","cor","kWithin","module"
"Zt09_chr_3_00728",0.0128496058166006,-0.860863906791166,0.0755737755171517,"ME1"
"Zt09_chr_13_00099",0.036287063043896,-0.785593387137851,0.0668196220507846,"ME1"
"Zt09_chr_5_00696",0.0419319451553576,-0.772117210500079,0.0424196649612512,"ME1"
"Zt09_chr_9_00480",0.00865433522423478,-0.881765826647168,0.028003944374873,"ME1"
"Zt09_chr_4_00188",0.031111380899237,-0.799016189033097,0.0229235973662774,"ME1"
"Zt09_chr_1_01838",0.00581734256734012,-0.899533352489987,0.0126555177747683,"ME1"
"Zt09_chr_1_02085",0.0318912592925812,-0.796917869719781,0.0107109788647287,"ME1"
"Zt09_chr_5_00580",0.0480462370207029,-0.758607678971889,0.00990603449296581,"ME1"
"Zt09_chr_2_01209",0.00829144016746286,-0.883827954746477,0.00799302275525462,"ME1"
"Zt09_chr_7_00194",0.00252530631377841,-0.92850426180368,0.00393883282390666,"ME1"
"Zt09_chr_9_00269",0.00907399173366925,-0.879442490667454,0.00376947824212887,"ME1"
"Zt09_chr_13_00100",0.0215228306371504,-0.827692792216775,0.00133176679399227,"ME1"
"Zt09_chr_7_00246",0.0184709990966892,-0.838306489955311,0.00110112439514022,"ME1"
"Zt09_chr_8_00158",0.0158630206194204,-0.848197679547801,0.000901110742783596,"ME1"
"Zt09_chr_19_00013",0.0170029526975389,-0.843768430364575,0.000380379619048129,"ME1"
"Zt09_chr_2_00944",0.0484289492829922,0.757794400922829,0.000275107230760843,"ME1"
"Zt09_chr_1_00636",0.00965411963791931,-0.876330629173438,0.000182338683900251,"ME1"
"Zt09_chr_2_00943",0.0151674707869733,0.85098999166232,0.000170549266187411,"ME1"
"Zt09_chr_1_00137",0.0382784579116503,-0.780714774002935,0.476195302085078,"ME10"
"Zt09_chr_4_00733",0.00148319632011575,-0.942388014386825,0.115545993991986,"ME10"
"Zt09_chr_4_00802",0.00770101913325869,-0.887297660862807,0.0942182843052786,"ME10"
"Zt09_chr_7_00206",0.0297862376721392,0.802650119441578,0.746130811529394,"ME11"
"Zt09_chr_12_00216",0.019070422209133,0.83614742574913,0.507953861436433,"ME11"
"Zt09_chr_1_00483",0.0406976367232454,-0.774973743912258,0.0483134922864718,"ME11"
"Zt09_chr_2_00208",0.0353422554975622,0.787960051328648,0.0349783883074062,"ME11"
"Zt09_chr_3_00040",0.0416900358690106,-0.77267335917115,0.100393918122292,"ME13"
"Zt09_chr_11_00249",0.0403092193720312,-0.775882530796542,0.0950331777304581,"ME13"
"Zt09_chr_5_00807",0.00537793880899894,-0.902709024818487,0.0670677062333453,"ME13"
"Zt09_chr_6_00234",0.0459293006367748,-0.763171855643863,0.0387573098791613,"ME13"
"Zt09_chr_8_00523",0.0306763078848111,0.800199572074565,0.0214390626317972,"ME13"
"Zt09_chr_1_01084",0.0125335209332188,-0.862287264356763,0.0139589768776321,"ME13"
"Zt09_chr_3_00860",0.0321187988552516,-0.796311069673006,0.0117734791607751,"ME13"
"Zt09_chr_6_00409",0.027551939138461,-0.808988324486529,0.0070729165003786,"ME14"
"Zt09_chr_10_00217",0.00346618198393685,-0.918673054508074,0.0319759476153046,"ME15"
"Zt09_chr_9_00298",0.0300983319848427,-0.801786253556028,0.0308890653721894,"ME15"
"Zt09_chr_5_00438",0.00275070713703504,-0.925975827973316,0.0167820712313519,"ME15"
"Zt09_chr_5_00101",0.0131020218006392,-0.859741603321282,0.0136388779075799,"ME15"
"Zt09_chr_6_00683",0.00222524563222873,0.932085212472244,0.0414923795053995,"ME16"
"Zt09_chr_3_00422",0.0143928396474908,-0.854187249911833,0.0202668358454944,"ME18"
"Zt09_chr_8_00381",0.0468474341187429,-0.761178442520765,0.00916351304345296,"ME18"
"Zt09_chr_10_00386",0.00679856094654945,0.892912800130822,0.00574077138499063,"ME18"
"Zt09_chr_5_00509",0.031935316423844,-0.796800190422608,0.00912365081235899,"ME2"
"Zt09_chr_6_00537",0.0104499597798933,-0.872232205155336,0.00640658237704378,"ME2"
"Zt09_chr_4_00016",0.0173734149805156,-0.842365579437295,0.000309721476730382,"ME2"
"Zt09_chr_5_00456",0.0490896404895418,-0.756398657549662,0.565208499957549,"ME21"
"Zt09_chr_3_00396",0.0380308049305772,-0.781313695308558,0.0373987379083155,"ME21"
"Zt09_chr_5_00495",0.0128616437772595,0.860810097669864,0.0746643487954915,"ME22"
"Zt09_chr_5_00698",0.022487604726183,-0.824516977596957,0.0132319906152674,"ME22"
"Zt09_chr_2_00116",0.00395731716201545,0.914160631735124,0.292720304123408,"ME26"
"Zt09_chr_5_00076",0.016218656507754,-0.846796918302546,0.269912925285544,"ME26"
"Zt09_chr_6_00408",0.0316649718253602,-0.797523732601975,0.233488920019214,"ME26"
"Zt09_chr_7_00285",0.0458770212638418,-0.763286018682951,0.179559842774669,"ME26"
"Zt09_chr_3_00985",0.0062622682041566,-0.896456858808578,0.123476224703304,"ME26"
"Zt09_chr_3_00456",0.0249225298386964,0.816829039395052,0.058537667868884,"ME26"
"Zt09_chr_1_00197",0.0201199783113212,-0.832457872117537,0.0427675114741677,"ME26"
"Zt09_chr_3_01083",0.0222585706107208,-0.825263823672061,0.0128928792742829,"ME26"
"Zt09_chr_8_00661",0.0241507927567984,-0.819217935789154,0.0164128549149092,"ME3"
"Zt09_chr_1_01493",0.0495322075501412,-0.755469461991117,0.288285938203993,"ME5"
"Zt09_chr_6_00055",0.0301244546756472,-0.801714174665989,0.271887038178129,"ME5"
